,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
61,70,Georgia,0.739,,0.753,,0.764,,0.777,,0.789,,0.813,,0.826,,0.837,,0.828,
62,4,Germany,0.904,,0.913,,0.916,,0.908,,0.914,,0.916,,0.921,,0.920,,0.920,
63,142,Ghana,0.487,,0.315,,0.320,,0.353,,0.342,,0.361,,0.363,,0.362,,0.364,
64,32,Greece,0.747,,0.681,,0.714,,0.721,,0.734,,0.735,,0.707,,0.724,,0.727,
65,126,Guatemala,0.279,,0.283,,0.288,,0.289,,0.325,,0.327,,0.332,,0.332,,0.353,
66,174,Guinea,0.166,,0.179,,0.187,,0.193,,0.176,,0.176,,0.176,,0.176,,0.176,
67,178,Guinea-Bissau,0.215,,0.221,,0.225,,0.229,,0.237,,0.238,,0.233,,0.233,,0.233,
68,123,Guyana,0.519,,0.522,,0.529,,0.531,,0.534,,0.536,,0.536,,0.537,,0.537,
69,169,Haiti,0.237,,0.241,,0.244,,0.249,,0.261,,0.266,,0.270,,0.275,,0.279,
70,132,Honduras,0.329,,0.327,,0.340,,0.337,,0.356,,0.373,,0.386,,0.389,,0.369,
71,4,"Hong Kong, China (SAR)",..,,..,,..,,..,,..,,..,,0.760,,0.772,,0.776,
72,43,Hungary,0.796,,0.781,,0.784,,0.805,,0.795,,0.792,,0.790,,0.790,,0.790,
73,6,Iceland,0.831,,0.845,,0.861,,0.875,,0.885,,0.884,,0.888,,0.888,,0.892,
74,129,India,0.284,,0.292,,0.291,,0.297,,0.307,,0.328,,0.336,,0.342,,0.492,
75,111,Indonesia,0.461,,0.476,,0.483,,0.472,,0.487,,0.491,,0.494,,0.522,,0.511,
76,65,Iran (Islamic Republic of),..,,..,,..,,0.463,,0.463,,0.463,,..,,0.706,,0.706,
77,120,Iraq,..,,..,,0.339,,0.351,,0.348,,0.351,,0.358,,0.394,,0.389,
78,3,Ireland,0.829,,0.834,,0.849,,0.846,,0.861,,0.883,,0.891,,0.891,,0.885,
79,22,Israel,0.792,,0.799,,0.801,,0.801,,0.788,,0.801,,0.801,,0.815,,0.844,
80,29,Italy,0.686,,0.698,,0.684,,0.693,,0.705,,0.710,,0.699,,0.710,,0.706,
81,96,Jamaica,0.634,,0.632,,0.613,,0.609,,0.643,,0.648,,0.648,,0.653,,0.653,
82,19,Japan,..,,..,,..,,0.666,,0.672,,0.673,,0.679,,..,,0.836,
83,102,Jordan,0.513,,0.528,,0.531,,0.520,,0.558,,0.560,,0.562,,0.562,,0.574,
84,50,Kazakhstan,0.740,,0.749,,0.745,,0.755,,0.758,,0.758,,0.783,,0.787,,0.791,
85,147,Kenya,0.352,,0.347,,0.350,,0.352,,0.378,,0.396,,0.400,,0.403,,0.406,
86,132,Kiribati,..,,..,,..,,0.467,,0.468,,0.458,,0.464,,0.464,,..,
87,22,Korea (Republic of),0.638,,0.643,,0.641,,0.619,,0.642,,0.642,,0.702,,0.702,,0.702,
88,57,Kuwait,..,,..,,..,,..,,..,,..,,0.515,,0.514,,0.487,
89,122,Kyrgyzstan,0.619,,0.620,,0.664,,0.673,,0.691,,0.694,,0.698,,0.697,,0.697,
90,140,Lao People's Democratic Republic,0.298,,0.311,,0.316,,0.310,,0.314,,0.319,,0.319,,0.319,,0.330,
91,39,Latvia,0.822,,0.816,,0.813,,0.828,,0.826,,0.830,,0.833,,0.835,,0.849,
