,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
1,,,,,,,,,,,,,,,,,,,,
2,170,Afghanistan,..,,..,,..,,31.4,,31.4,,31.9,,29.6,,29.6,,..,
3,69,Albania,12.7,,13.9,,13.9,,13.4,,13.4,,13.4,,12.3,,10.0,,10.9,
4,82,Algeria,..,,..,,..,,..,,..,,..,,..,,20.7,,20.4,
5,149,Angola,39.9,,..,,43.9,,44.0,,37.0,,37.0,,32.4,,32.4,,31.7,
6,48,Argentina,19.8,,19.6,,19.6,,15.8,,15.0,,15.6,,14.5,,14.3,,14.0,
7,81,Armenia,10.9,,10.8,,11.0,,10.4,,10.2,,9.3,,8.7,,10.0,,9.9,
8,6,Australia,7.9,,7.9,,7.9,,7.8,,8.2,,8.2,,8.6,,8.2,,8.1,
9,20,Austria,7.5,,7.4,,6.6,,7.2,,7.7,,8.7,,7.6,,8.0,,7.7,
10,87,Azerbaijan,13.8,,11.4,,11.4,,11.8,,13.2,,13.2,,10.2,,10.1,,9.4,
11,60,Bahamas,14.4,,14.8,,..,,14.3,,..,,..,,..,,..,,..,
12,135,Bangladesh,29.4,,27.4,,27.4,,29.1,,29.4,,28.9,,28.1,,24.1,,24.3,
13,56,Barbados,..,,..,,..,,..,,..,,..,,..,,16.4,,17.0,
14,50,Belarus,9.3,,8.3,,8.3,,7.6,,7.1,,6.4,,6.5,,6.5,,6.4,
15,17,Belgium,8.4,,7.6,,8.0,,8.5,,7.9,,8.3,,8.9,,8.8,,7.6,
16,103,Belize,28.7,,..,,..,,..,,22.7,,22.7,,22.3,,22.3,,22.6,
17,163,Benin,35.2,,35.8,,35.8,,34.6,,37.4,,37.4,,36.7,,36.6,,37.1,
18,134,Bhutan,..,,..,,20.0,,20.4,,29.8,,29.4,,28.6,,27.2,,27.1,
19,114,Bolivia (Plurinational State of),38.1,,34.1,,34.2,,29.6,,28.6,,29.0,,26.6,,25.8,,24.2,
20,75,Bosnia and Herzegovina,20.4,,11.6,,11.5,,10.6,,13.3,,13.3,,13.1,,15.6,,14.4,
21,94,Botswana,..,,..,,..,,38.2,,38.2,,38.0,,37.4,,..,,..,
22,79,Brazil,27.1,,27.8,,27.2,,27.1,,26.3,,25.6,,24.4,,23.9,,24.5,
23,52,Bulgaria,11.3,,11.4,,9.9,,11.0,,10.6,,10.7,,12.0,,12.7,,12.5,
24,182,Burkina Faso,36.2,,35.1,,34.2,,35.0,,35.0,,33.6,,30.8,,32.1,,30.0,
25,185,Burundi,37.0,,..,,..,,33.9,,32.6,,31.6,,30.5,,33.3,,30.1,
26,126,Cabo Verde,..,,..,,..,,19.7,,19.7,,20.1,,21.6,,..,,..,
27,146,Cambodia,28.8,,27.2,,25.9,,24.7,,24.7,,22.5,,19.4,,19.4,,20.1,
