,HDI Rank,Country,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
124,158,Nigeria,51.1,,43.8,,43.8,,40.8,,40.8,,40.8,,37.4,a,37.4,a,37.1,
125,82,North Macedonia,10.4,,9.4,,9.4,,7.6,,7.6,,7.6,,6.5,a,6.5,a,7.9,
126,1,Norway,4.0,,3.7,,3.7,,3.4,,3.4,,3.3,,2.7,a,2.7,a,3.0,
127,47,Oman,..,,7.2,,7.2,,7.0,,7.0,,7.0,,7.1,a,7.1,a,6.7,
128,152,Pakistan,32.9,,32.3,,32.3,,29.9,,29.9,,32.8,,31.0,a,31.0,a,29.9,
129,119,"Palestine, State of",..,,13.1,,13.1,,13.1,,13.1,,13.7,,12.2,a,12.2,a,12.0,
130,67,Panama,13.6,,12.4,,12.4,,12.1,,12.1,,11.5,,11.5,a,11.5,a,12.0,
131,155,Papua New Guinea,28.5,,25.2,,25.2,,26.5,,26.5,,26.5,,25.3,a,25.3,a,24.1,
132,98,Paraguay,19.9,,17.8,,17.8,,19.2,,19.2,,18.3,,18.0,a,18.0,a,13.8,
133,82,Peru,16.5,,14.8,,14.8,,13.9,,13.9,,14.2,,13.2,a,13.2,a,10.8,
134,106,Philippines,15.0,,15.2,,15.2,,15.2,,15.2,,16.2,,14.4,a,14.4,a,15.3,
135,32,Poland,6.4,,5.8,,5.8,,5.7,,5.7,,5.2,,4.7,a,4.7,a,4.3,
136,40,Portugal,4.8,,4.9,,4.9,,3.9,,3.9,,3.9,,2.9,a,2.9,a,3.5,
137,41,Qatar,7.4,,7.2,,7.2,,6.0,,6.0,,6.1,,5.9,a,5.9,a,5.7,
138,52,Romania,10.9,,9.6,,9.6,,8.8,,8.8,,8.4,,6.8,a,6.8,a,6.3,
139,49,Russian Federation,11.5,,10.8,,10.8,,9.8,,9.8,,8.8,,8.0,a,8.0,a,7.1,
140,157,Rwanda,47.4,,41.3,,41.3,,30.2,,30.2,,29.8,,23.8,a,23.8,a,19.5,
141,89,Saint Lucia,..,,10.4,,10.4,,9.9,,9.9,,10.1,,9.0,a,9.0,a,10.6,
142,94,Saint Vincent and the Grenadines,..,,14.0,,14.0,,12.9,,13.0,,12.7,,11.9,a,11.9,a,11.3,
143,111,Samoa,..,,13.4,,13.4,,13.3,,13.3,,13.3,,11.4,a,11.4,a,10.0,
144,137,Sao Tome and Principe,34.4,,28.8,,28.8,,26.9,,26.9,,26.9,,25.9,a,25.9,a,17.0,
145,36,Saudi Arabia,12.7,,11.5,,11.5,,8.7,,8.7,,11.0,,8.9,a,8.9,a,6.4,
146,166,Senegal,37.4,,30.7,,30.7,,29.5,,29.5,,25.0,,21.1,a,21.1,a,21.2,
147,63,Serbia,9.0,,8.3,,8.3,,8.5,,8.5,,7.9,,7.1,a,7.1,a,4.9,
148,62,Seychelles,..,,..,,..,,7.9,,7.9,,9.0,,7.7,a,7.7,a,9.6,
149,181,Sierra Leone,44.5,,45.3,,45.3,,51.2,,51.2,,43.4,,39.8,a,39.8,a,39.0,
150,9,Singapore,3.8,,2.9,,2.9,,2.8,,2.8,,3.0,,2.6,a,2.6,a,2.5,
151,36,Slovakia,6.5,,5.7,,5.7,,5.6,,5.6,,5.3,,5.2,a,5.2,a,5.0,
152,24,Slovenia,4.3,,4.1,,4.1,,3.8,,3.8,,3.6,,3.0,a,3.0,a,2.9,
153,153,Solomon Islands,25.2,,20.7,,20.7,,22.3,,22.3,,22.3,,15.9,a,15.9,a,12.1,
154,..,Somalia,..,,47.1,,..,,42.1,,42.1,,42.1,,38.9,a,38.9,a,38.9,
155,113,South Africa,30.2,,28.4,,28.4,,25.7,,25.7,,25.7,,20.3,a,20.3,a,19.2,
156,186,South Sudan,..,,..,,..,,40.8,,40.8,,40.7,,37.0,a,37.0,a,36.2,
157,25,Spain,4.4,,4.1,,4.1,,3.9,,3.9,,3.5,,3.0,a,3.0,a,3.0,
158,71,Sri Lanka,12.3,,9.4,,9.4,,8.3,,8.3,,8.1,,7.1,a,7.1,a,7.0,
159,168,Sudan,38.5,,33.0,,33.0,,32.8,,32.8,,31.8,,27.9,a,27.9,a,27.4,
160,98,Suriname,16.7,,15.0,,15.0,,13.6,,13.6,,13.6,,12.4,a,12.4,a,12.8,
161,8,Sweden,3.7,,3.3,,3.3,,3.1,,3.1,,3.3,,2.7,a,2.7,a,2.9,
162,2,Switzerland,4.4,,4.1,,4.1,,3.9,,3.9,,3.8,,3.5,a,3.5,a,3.5,
163,154,Syrian Arab Republic,11.1,,10.0,,10.0,,12.6,,12.6,,14.5,,13.0,a,13.0,a,13.0,
164,125,Tajikistan,31.0,,27.2,,27.2,,29.3,,29.3,,23.2,,20.1,a,20.1,a,16.7,
165,159,Tanzania (United Republic of),37.5,,32.4,,32.4,,30.4,,30.4,,25.0,,24.9,a,24.9,a,25.3,
166,77,Thailand,9.5,,10.1,,10.1,,9.8,,9.8,,10.4,,9.3,a,9.3,a,7.9,
167,131,Timor-Leste,34.3,,30.2,,30.2,,22.8,,22.8,,24.4,,20.6,a,20.6,a,21.7,
168,167,Togo,35.4,,37.2,,37.2,,36.8,,36.8,,32.4,,30.5,a,30.5,a,30.5,
169,105,Tonga,14.5,,13.8,,13.8,,13.7,,13.7,,13.6,,13.0,a,13.0,a,10.4,
170,63,Trinidad and Tobago,17.4,,16.6,,16.6,,16.4,,16.4,,16.6,,15.6,a,15.6,a,14.9,
171,91,Tunisia,12.7,,12.6,,12.6,,10.6,,10.6,,12.2,,10.7,a,10.7,a,9.0,
172,59,Turkey,16.5,,12.8,,12.8,,11.0,,11.0,,11.5,,9.6,a,9.6,a,9.0,
173,108,Turkmenistan,27.5,,26.7,,26.7,,26.0,,26.0,,26.0,,23.4,a,23.4,a,23.4,
174,159,Uganda,40.7,,39.1,,39.1,,33.8,,33.8,,35.7,,32.5,a,32.5,a,27.2,
175,88,Ukraine,11.0,,10.5,,10.5,,10.4,,10.4,,8.7,,7.5,a,7.5,a,7.4,
176,35,United Arab Emirates,7.4,,6.3,,6.3,,5.5,,5.5,,5.8,,5.2,a,5.2,a,5.2,
177,15,United Kingdom,4.9,,4.8,,4.8,,4.5,,4.5,,4.5,,4.0,a,4.0,a,4.1,
178,15,United States,6.0,,6.6,,6.6,,6.2,,6.2,,6.1,,5.6,a,5.6,a,6.3,
179,57,Uruguay,10.1,,9.3,,9.3,,9.2,,9.2,,9.5,,9.0,a,9.0,a,7.9,
180,108,Uzbekistan,25.9,,24.3,,24.3,,24.3,,24.3,,24.3,,17.0,a,17.0,a,13.9,
181,141,Vanuatu,..,,15.6,,15.6,,15.4,,15.4,,15.4,,14.1,a,14.1,a,14.4,
182,96,Venezuela (Bolivarian Republic of),13.3,,12.2,,12.2,,12.2,,12.2,,11.4,,10.5,a,10.5,a,17.1,
183,118,Viet Nam,13.8,,13.4,,13.4,,12.1,,12.1,,14.2,,12.7,a,12.7,a,12.9,
184,177,Yemen,31.2,,25.1,,25.1,,30.3,,30.3,,29.4,,24.9,a,24.9,a,24.7,
185,143,Zambia,46.5,,41.9,,41.9,,37.2,,37.2,,33.8,,28.8,a,28.8,a,26.5,
186,150,Zimbabwe,34.2,,30.6,,30.6,,26.8,,26.8,,31.2,,26.6,a,26.6,a,24.2,
187,36,Andorra,..,,..,,..,,..,,..,,..,,..,,..,,..,
188,98,Dominica,..,,..,,..,,..,,..,,..,,..,,..,,..,
189,73,Saint Kitts and Nevis,..,,..,,..,,..,,..,,..,,..,,..,,..,
190,18,Liechtenstein,..,,..,,..,,..,,..,,..,,..,,..,,..,
191,117,Marshall Islands,..,,..,,..,,..,,..,,..,,..,,..,,..,
192,55,Palau,..,,..,,..,,..,,..,,..,,..,,..,,..,
