,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
67,Hungary,14.7,11.2,12.2,13.1,12.6,14.6,15.5,15.2,16.1
68,Iceland,13.4,11.8,13.2,11.6,12.2,11.7,12.8,12.8,11.7
69,India,14.7,14.7,15.8,16.1,16.1,16.1,21.0,18.8,18.8
70,Indonesia,14.8,17.7,17.7,17.7,17.3,17.3,17.3,24.9,20.1
71,Iran (Islamic Republic of),..,..,..,46.6,46.6,46.6,46.6,19.7,19.7
72,Iraq,..,..,..,16.1,16.1,16.1,16.1,16.1,12.7
73,Ireland,18.8,13.8,13.8,13.3,16.3,16.3,20.1,20.1,15.0
74,Israel,23.7,23.7,23.7,19.6,25.0,26.4,26.4,26.4,23.7
75,Italy,19.4,16.8,18.1,19.8,19.8,20.8,22.5,22.5,21.3
76,Jamaica,24.1,24.1,30.1,30.1,30.1,30.1,32.0,32.0,32.0
77,Japan,..,..,..,13.5,13.5,13.5,13.5,6.3,6.3
78,Jordan,18.7,21.1,21.1,21.1,20.5,20.5,20.5,20.5,17.9
79,Kazakhstan,17.6,13.8,17.3,12.7,12.7,12.7,10.3,10.3,10.3
80,Kenya,28.8,36.0,36.0,36.0,36.0,33.1,33.1,33.1,33.1
81,Kiribati,..,..,..,48.4,48.4,48.4,48.4,..,..
82,Korea (Republic of),18.4,18.4,18.4,18.4,18.4,18.4,20.2,20.2,20.2
83,Kyrgyzstan,12.2,12.2,24.1,24.1,17.7,17.7,12.2,12.2,12.2
84,Lao People's Democratic Republic,15.5,15.5,20.6,16.8,20.3,20.3,20.3,20.3,20.3
85,Latvia,20.5,21.0,20.9,19.8,20.5,20.3,20.7,20.7,18.5
86,Lebanon,..,30.0,30.0,30.0,30.0,30.0,..,..,..
87,Lesotho,39.5,47.0,47.0,47.0,47.0,47.0,41.1,41.1,41.1
88,Liberia,19.0,19.0,19.0,19.0,22.7,22.7,22.7,22.7,22.7
89,Lithuania,20.6,17.5,20.1,18.6,17.5,19.6,20.1,23.9,21.8
90,Luxembourg,15.7,13.5,11.6,13.1,13.9,15.1,17.7,17.7,16.6
91,Madagascar,19.3,36.1,36.1,36.1,20.4,20.4,20.4,20.4,20.4
92,Malawi,19.7,19.7,23.1,24.6,27.7,32.5,32.4,32.4,32.4
93,Malaysia,28.7,..,..,..,..,..,..,..,..
94,Maldives,19.5,23.2,23.2,23.2,23.2,23.2,23.2,20.5,25.8
95,Mali,25.4,..,..,..,16.1,16.1,16.1,15.4,15.4
96,Malta,..,..,13.6,14.1,13.3,13.6,13.7,13.7,12.5
97,Mauritania,21.5,21.5,23.8,21.2,21.2,21.2,24.6,24.6,24.6
98,Mauritius,..,16.6,16.6,19.8,19.8,19.8,19.8,18.2,18.2
99,Mexico,31.6,35.6,35.6,34.6,34.6,34.3,34.3,32.8,36.3
100,Micronesia (Federated States of),63.1,63.1,..,63.1,..,..,..,26.4,26.4
101,Moldova (Republic of),19.4,18.9,17.0,18.9,14.0,14.0,14.0,14.0,14.0
102,Mongolia,16.4,16.4,19.7,12.3,12.3,12.3,15.7,15.7,15.7
103,Montenegro,12.6,11.3,12.6,11.3,12.6,13.6,13.6,14.6,14.6
104,Morocco,20.7,23.0,23.0,23.0,23.0,23.0,..,..,21.7
105,Mozambique,58.1,25.8,37.0,28.4,28.4,28.4,28.4,28.4,28.4
106,Myanmar,..,..,..,..,..,..,..,5.8,19.9
107,Namibia,68.3,68.3,68.3,68.3,68.3,53.6,53.6,53.6,53.6
108,Nauru,..,..,..,..,..,..,..,..,23.9
109,Nepal,26.4,37.4,37.4,18.3,15.1,13.9,13.9,16.3,16.3
110,Netherlands,15.3,12.5,12.3,11.8,11.6,12.4,14.1,15.0,12.1
111,New Zealand,..,..,..,..,..,..,..,16.4,16.4
112,Nicaragua,23.8,33.6,33.6,31.0,28.3,32.1,32.1,29.2,29.2
113,Niger,21.1,17.9,17.9,17.9,12.3,12.3,12.3,16.4,16.4
114,Nigeria,25.1,28.8,34.5,34.5,28.4,28.4,28.5,28.2,28.2
115,North Macedonia,21.8,21.8,21.8,21.8,30.1,30.1,30.1,20.3,20.3
116,Norway,13.1,10.6,12.8,10.7,10.2,10.4,14.3,14.9,12.7
117,Oman,..,..,..,..,..,..,..,..,20.1
118,Pakistan,10.6,11.0,11.0,11.0,11.6,11.6,11.6,11.6,17.2
119,Palau,..,..,..,23.0,23.0,23.0,23.0,..,..
120,"Palestine, State of",..,..,..,15.0,15.0,15.0,18.5,18.5,16.6
121,Panama,52.6,40.5,40.5,35.8,36.5,38.0,35.3,36.5,36.5
122,Paraguay,33.4,33.4,33.4,34.6,30.1,38.3,33.9,39.5,34.0
123,Peru,42.7,30.0,32.5,30.6,31.9,29.5,29.6,28.3,28.3
124,Philippines,28.0,30.0,30.0,25.2,26.8,26.8,26.8,26.8,28.1
125,Poland,18.4,16.3,17.1,17.9,17.5,17.4,17.6,17.1,14.4
126,Portugal,23.9,19.3,20.8,19.9,20.3,20.4,20.5,20.5,18.1
127,Romania,12.2,22.2,22.2,17.3,17.1,19.5,21.5,21.0,20.7
128,Russian Federation,11.9,11.9,11.9,22.9,18.7,17.7,17.7,17.7,18.7
129,Rwanda,31.5,34.5,30.2,39.6,35.2,36.4,36.4,36.4,36.4
130,Saint Lucia,..,..,..,..,27.4,27.4,27.4,27.4,27.4
131,Sao Tome and Principe,..,44.2,44.2,44.2,25.8,25.8,14.9,14.9,14.9
132,Senegal,21.1,23.9,21.6,22.7,27.7,27.7,26.9,27.7,27.7
133,Serbia,12.2,10.3,10.3,13.5,13.5,17.4,27.0,28.7,19.7
134,Seychelles,..,..,..,..,..,..,..,29.3,29.3
135,Sierra Leone,22.2,31.0,31.0,31.0,19.2,19.2,19.2,19.2,17.7
136,Singapore,..,..,..,..,..,..,..,25.0,25.0
137,Slovakia,11.7,9.6,11.3,11.5,11.3,11.4,13.5,13.4,11.7
138,Slovenia,12.2,8.5,9.9,10.6,11.0,11.3,11.3,11.4,9.1
139,Solomon Islands,..,..,..,26.3,26.3,26.3,..,..,19.4
140,South Africa,40.9,..,..,..,57.3,56.4,56.4,56.4,57.7
141,South Sudan,..,..,..,..,..,..,..,32.3,32.3
142,Spain,18.5,16.7,19.7,22.1,23.9,21.8,23.3,23.3,21.9
143,Sri Lanka,20.8,20.8,20.8,19.6,13.7,13.7,13.7,21.0,21.0
144,Sudan,..,..,..,..,..,..,37.3,33.0,33.0
145,Suriname,34.9,34.9,32.8,37.3,37.3,37.3,37.3,37.3,37.3
146,Sweden,13.0,10.3,11.2,12.4,13.1,13.1,14.6,15.3,13.0
147,Switzerland,14.3,14.3,14.3,13.2,12.3,15.7,16.8,16.8,14.5
148,Syrian Arab Republic,18.3,18.3,18.3,18.3,18.3,18.3,18.3,..,..
149,Tajikistan,15.3,15.3,15.0,15.0,15.0,15.0,15.0,13.5,14.5
150,Tanzania (United Republic of),17.6,20.6,20.9,20.9,22.7,22.7,22.7,22.4,22.4
151,Thailand,34.0,34.0,34.0,34.0,34.0,34.0,23.8,23.8,23.8
152,Timor-Leste,19.2,17.8,17.8,17.8,17.8,17.8,17.8,13.6,13.6
153,Togo,20.0,20.0,20.0,23.5,23.5,23.5,23.5,25.1,25.1
154,Trinidad and Tobago,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,..
155,Tunisia,21.8,21.8,..,..,18.9,18.9,18.9,18.9,18.9
156,Turkey,26.5,26.5,26.5,21.8,21.8,21.8,21.8,22.6,22.6
157,Turkmenistan,38.7,..,..,..,..,..,26.8,26.8,26.8
158,Tuvalu,..,..,..,..,..,..,..,23.4,..
159,Uganda,26.4,29.1,29.1,27.3,27.3,27.3,27.3,24.2,24.9
160,Ukraine,10.4,10.9,10.9,10.9,9.2,9.2,9.2,8.5,8.5
161,United Kingdom,21.0,17.3,16.9,18.8,17.8,16.2,18.2,19.5,17.0
162,United States,23.5,32.4,24.1,35.6,35.6,27.0,27.0,28.1,26.6
163,Uruguay,26.3,27.8,27.9,27.1,24.2,26.2,26.4,25.3,22.0
164,Uzbekistan,17.9,17.9,20.1,20.1,20.1,20.1,20.1,..,..
165,Vanuatu,..,..,..,18.5,18.5,18.5,18.5,19.7,19.7
166,Venezuela (Bolivarian Republic of),32.0,44.9,44.9,28.4,28.4,28.4,28.4,25.2,25.2
167,Viet Nam,18.2,11.4,11.4,14.6,22.0,21.4,21.4,21.4,18.1
168,Yemen,17.6,17.6,17.6,17.6,20.6,20.6,20.6,21.8,21.8
169,Zambia,20.8,20.8,42.6,42.6,42.6,48.6,48.6,48.6,48.6
170,Zimbabwe,34.5,34.5,35.8,35.8,35.8,35.8,27.0,27.0,27.0
