,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
76,Jamaica,16.6,16.2,19.1,19.0,17.5,16.5,17.0,17.0,16.7
77,Japan,..,..,..,12.4,12.4,12.4,12.3,..,3.6
78,Jordan,19.2,19.0,19.0,18.6,16.5,16.5,16.1,16.1,14.7
79,Kazakhstan,13.5,11.9,13.6,11.9,11.9,10.1,7.9,7.9,7.1
80,Kenya,31.8,33.6,33.6,32.8,31.3,29.5,26.4,26.4,26.3
81,Kiribati,..,..,..,31.5,31.5,33.1,32.6,..,..
82,Korea (Republic of),16.7,16.5,16.5,17.4,16.4,16.3,14.3,14.3,14.2
83,Kyrgyzstan,15.1,14.5,17.1,17.2,14.5,12.3,9.8,9.8,9.5
84,Lao People's Democratic Republic,24.8,22.8,24.7,24.5,25.6,27.1,26.1,26.1,24.9
85,Latvia,11.1,11.0,10.9,10.6,10.8,10.6,10.4,10.4,9.1
86,Lebanon,..,22.8,22.8,20.9,20.9,21.0,..,..,..
87,Lesotho,34.0,35.9,35.9,35.6,35.6,35.6,31.0,31.0,32.5
88,Liberia,37.3,35.3,35.3,33.8,34.8,33.4,31.6,31.6,32.3
89,Lithuania,11.5,9.8,11.0,10.6,10.2,10.5,10.6,11.7,10.9
90,Luxembourg,9.0,7.8,7.2,7.6,7.8,8.0,9.9,10.4,9.5
91,Madagascar,29.2,30.7,30.7,30.5,27.0,27.0,25.9,25.9,25.8
92,Malawi,32.1,31.9,31.4,31.9,32.9,31.2,30.4,30.4,28.7
93,Maldives,15.6,25.2,25.2,25.4,24.9,24.6,24.3,23.4,21.0
94,Mali,38.3,..,..,..,35.6,33.7,32.3,34.0,31.2
95,Malta,..,..,8.2,8.3,8.5,8.1,8.2,8.3,8.0
96,Mauritania,35.2,34.2,34.5,35.3,33.4,32.4,33.0,33.0,32.1
97,Mauritius,..,13.3,13.3,14.2,14.2,14.4,14.1,13.5,13.6
98,Mexico,21.0,23.5,23.5,22.9,22.4,22.9,21.8,21.2,22.5
99,Micronesia (Federated States of),38.9,38.6,..,..,..,..,..,..,..
100,Moldova (Republic of),13.5,12.2,11.5,12.2,10.8,10.1,10.3,10.3,10.4
101,Mongolia,15.2,13.8,15.9,11.5,12.8,13.0,13.7,13.7,13.6
102,Montenegro,9.9,6.9,7.4,7.2,9.2,8.8,8.5,8.9,8.6
103,Morocco,28.1,29.7,29.7,29.7,29.7,29.5,..,..,..
104,Mozambique,45.3,28.9,32.7,29.5,34.3,33.0,32.7,32.7,30.7
105,Myanmar,..,..,..,..,..,..,..,19.4,23.2
106,Namibia,44.3,43.5,43.5,43.6,43.6,35.2,34.8,34.8,35.3
107,Nepal,31.9,34.3,34.3,28.8,26.8,27.1,26.2,25.6,25.8
108,Netherlands,8.1,7.0,6.9,6.7,6.6,6.9,7.4,7.9,6.8
109,New Zealand,..,..,..,..,..,..,..,7.7,9.2
110,Nicaragua,24.6,27.5,27.5,26.4,24.0,25.8,24.0,22.9,23.0
111,Niger,33.9,34.2,34.2,32.4,29.3,28.3,28.1,29.3,27.8
112,Nigeria,41.7,39.3,41.4,40.3,37.8,37.8,36.9,34.7,34.6
113,North Macedonia,16.7,16.4,14.7,13.6,16.7,16.7,16.4,12.6,13.1
114,Norway,6.6,5.6,6.4,5.6,5.4,5.4,7.6,8.0,6.8
115,Oman,..,..,..,..,..,..,..,..,12.2
116,Pakistan,31.5,31.4,30.9,30.1,29.9,30.9,30.3,31.0,31.1
117,"Palestine, State of",..,..,..,11.7,14.9,15.1,14.7,15.0,13.5
118,Panama,28.3,24.6,24.6,22.1,22.5,22.0,20.8,21.1,21.2
119,Paraguay,24.6,24.0,..,24.1,22.1,24.3,22.4,25.5,22.5
120,Peru,30.6,23.2,24.3,23.7,23.4,21.6,20.0,19.2,19.4
121,Philippines,18.9,19.9,19.9,18.1,18.1,18.5,17.9,17.9,18.2
122,Poland,10.8,9.7,9.9,9.9,9.8,9.5,9.4,9.0,8.1
123,Portugal,11.9,10.2,10.7,10.1,10.3,10.4,13.9,13.5,12.7
124,Romania,12.1,12.6,12.6,10.5,10.4,11.1,11.7,11.6,11.1
125,Russian Federation,11.5,11.3,..,12.0,10.5,9.8,9.5,9.5,9.9
126,Rwanda,37.0,35.7,33.9,33.2,31.6,31.9,30.0,30.0,28.7
127,Saint Lucia,..,..,..,..,15.9,16.0,15.7,16.7,17.2
128,Sao Tome and Principe,..,31.5,31.8,31.2,24.7,24.7,19.8,19.8,16.8
129,Senegal,36.2,33.8,33.0,32.9,34.4,33.1,31.9,32.7,32.5
130,Serbia,10.8,9.5,9.5,10.9,10.1,11.2,14.9,15.3,11.1
131,Sierra Leone,39.3,41.7,41.7,44.3,41.6,37.8,36.5,36.5,35.7
132,Singapore,..,..,..,..,..,..,..,12.5,13.3
133,Slovakia,6.7,5.7,6.3,6.3,6.2,6.1,6.9,6.8,6.2
134,Slovenia,6.9,5.3,5.8,5.8,5.9,5.9,5.6,5.6,4.8
135,Solomon Islands,..,..,..,23.8,23.8,23.8,..,..,..
136,South Africa,31.1,..,..,..,35.7,34.7,33.2,33.2,34.4
137,South Sudan,..,..,..,..,..,..,..,36.4,36.1
138,Spain,9.8,8.9,10.1,10.9,11.5,10.5,15.6,15.4,14.3
139,Sri Lanka,17.1,16.2,15.1,14.3,11.6,11.6,11.3,13.8,12.1
140,Sudan,..,..,..,..,..,..,36.2,34.8,34.6
141,Suriname,24.3,23.8,23.0,24.2,24.0,24.0,22.5,22.6,22.7
142,Sweden,6.9,5.9,6.2,6.5,6.7,6.7,7.1,7.4,6.7
143,Switzerland,7.1,7.0,7.0,7.7,7.4,8.6,7.8,7.8,6.8
144,Syrian Arab Republic,20.8,20.4,20.4,21.2,21.2,21.8,21.3,..,..
145,Tajikistan,19.1,17.6,18.4,19.2,17.5,15.2,14.0,13.5,12.5
146,Tanzania (United Republic of),28.4,28.8,27.4,27.1,27.3,25.4,24.9,24.8,24.9
147,Thailand,21.2,21.3,21.3,20.7,20.7,20.8,16.8,15.7,17.0
148,Timor-Leste,33.4,32.9,33.0,30.7,30.7,31.2,30.1,27.7,28.0
149,Togo,32.9,33.5,33.5,32.9,33.4,31.9,31.2,31.7,31.7
150,Trinidad and Tobago,15.5,15.3,15.3,15.2,15.2,15.3,14.9,..,..
151,Tunisia,25.2,25.2,..,..,22.0,22.5,22.0,22.1,20.9
152,Turkey,23.6,22.5,22.5,15.8,15.8,15.9,15.4,15.4,16.2
153,Turkmenistan,26.4,..,..,..,..,..,18.5,18.5,18.5
154,Uganda,32.1,33.6,33.6,30.8,30.2,30.9,29.8,28.3,26.7
155,Ukraine,8.1,9.2,9.2,9.2,7.8,7.2,6.8,6.6,6.5
156,United Kingdom,9.7,8.3,8.3,8.9,8.6,8.0,10.5,9.4,8.2
157,United States,11.4,15.3,12.4,17.4,17.0,13.5,13.3,13.8,13.4
158,Uruguay,16.1,16.4,16.4,16.1,14.5,15.7,14.7,14.3,13.0
159,Uzbekistan,15.7,15.1,15.8,15.8,15.8,15.8,13.2,..,..
160,Vanuatu,..,..,..,..,17.1,17.2,16.7,17.1,..
161,Venezuela (Bolivarian Republic of),21.2,26.6,26.6,19.7,19.7,19.4,18.2,16.5,17.3
162,Viet Nam,16.4,14.0,14.0,14.9,17.5,17.8,17.3,17.3,16.3
163,Yemen,34.2,32.3,32.3,32.8,34.0,33.7,31.5,31.8,31.8
164,Zambia,31.5,29.5,36.7,35.0,34.4,35.6,34.1,34.1,33.4
165,Zimbabwe,29.9,28.7,28.5,27.2,27.1,28.6,23.6,23.6,22.8
166,Andorra,..,..,..,..,..,..,..,..,..
167,United Arab Emirates,..,..,..,..,..,..,..,..,..
168,Antigua and Barbuda,..,..,..,..,..,..,..,..,..
169,Bahrain,..,..,..,..,..,..,..,..,..
170,Brunei Darussalam,..,..,..,..,..,..,..,..,..
171,Cuba,..,..,..,..,..,..,..,..,..
172,Dominica,..,..,..,..,..,..,..,..,..
173,Eritrea,..,..,..,..,..,..,..,..,..
174,Equatorial Guinea,..,..,..,..,..,..,..,..,..
175,Grenada,..,..,..,..,..,..,..,..,..
176,Saint Kitts and Nevis,..,..,..,..,..,..,..,..,..
177,Kuwait,..,..,..,..,..,..,..,..,..
178,Libya,..,..,..,..,..,..,..,..,..
179,Liechtenstein,..,..,..,..,..,..,..,..,..
180,Marshall Islands,..,..,..,..,..,..,..,..,..
181,Malaysia,..,..,..,..,..,..,..,..,..
182,Palau,..,..,..,..,..,..,..,..,..
183,Papua New Guinea,..,..,..,..,..,..,..,..,..
184,Qatar,..,..,..,..,..,..,..,..,..
185,Saudi Arabia,..,..,..,..,..,..,..,..,..
186,Seychelles,..,..,..,..,..,..,..,..,..
187,Tonga,..,..,..,..,..,..,..,..,..
188,Saint Vincent and the Grenadines,..,..,..,..,..,..,..,..,..
189,Samoa,..,..,..,..,..,..,..,..,..
