,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
72,Honduras,32.5,33.8,35.2,36.2,37.3,38.7,40.2,42.1,43.7
73,"Hong Kong, China (SAR)",337.9,354.2,360.2,371.4,381.6,390.8,399.3,414.6,427.1
74,Hungary,224.1,227.8,224.1,228.7,238.4,246.8,252.5,262.9,275.9
75,Iceland,12.8,13.0,13.2,13.7,14.0,14.6,15.7,16.4,17.2
76,India,5494.1,5782.0,6097.5,6486.9,6967.6,7524.8,8139.5,8722.9,9332.0
77,Indonesia,2045.3,2171.5,2302.5,2430.4,2552.1,2676.5,2811.3,2953.7,3106.5
78,Iran (Islamic Republic of),1338.0,1373.4,1271.1,1268.6,1327.0,1309.5,1484.9,1540.7,1540.7
79,Iraq,391.2,420.8,479.4,515.8,519.4,532.3,604.5,594.4,598.2
80,Ireland,198.4,205.8,206.2,208.9,227.3,284.4,298.6,320.2,341.5
81,Israel,226.2,237.4,242.4,252.5,262.3,269.0,279.8,289.5,299.0
82,Italy,2145.9,2158.3,2097.4,2061.2,2063.5,2082.6,2105.9,2141.4,2159.8
83,Jamaica,22.5,22.9,22.8,22.9,23.1,23.3,23.6,23.8,24.3
84,Japan,4578.5,4573.2,4641.6,4734.4,4752.1,4810.3,4839.6,4932.9,4971.8
85,Jordan,68.2,69.9,71.8,73.8,76.1,77.9,79.5,81.2,82.7
86,Kazakhstan,328.0,352.3,369.2,391.3,407.8,412.7,417.2,434.3,452.1
87,Kenya,102.4,108.6,113.6,120.3,126.7,134.0,141.8,148.7,158.1
88,Kiribati,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
89,Korea (Republic of),1504.1,1559.4,1595.2,1641.4,1696.2,1743.6,1794.6,1849.6,1899.0
90,Kuwait,225.5,247.2,263.6,266.6,267.9,269.5,277.4,267.7,271.1
91,Kyrgyzstan,15.2,16.1,16.1,17.8,18.5,19.3,20.1,21.0,21.8
92,Lao People's Democratic Republic,26.4,28.5,30.8,33.2,35.8,38.4,41.0,43.9,46.7
93,Latvia,38.3,40.7,42.4,43.4,44.2,45.5,46.5,48.6,50.9
94,Lebanon,71.4,72.0,74.0,75.9,77.3,77.7,78.9,79.3,79.5
95,Lesotho,4.8,5.2,5.5,5.6,5.7,5.9,6.1,6.0,6.0
96,Liberia,4.3,4.6,5.0,5.4,5.5,5.5,5.4,5.5,5.6
97,Libya,182.8,69.3,154.7,133.6,101.6,92.6,90.0,114.0,122.9
98,Lithuania,65.3,69.2,71.9,74.4,77.0,78.6,80.4,83.7,86.7
99,Luxembourg,46.5,47.7,47.5,49.3,51.4,53.4,54.7,55.5,57.0
100,Madagascar,29.3,29.7,30.6,31.3,32.4,33.4,34.8,36.3,38.1
101,Malawi,15.7,16.4,16.7,17.6,18.6,19.1,19.6,20.4,21.1
