,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
92,Kuwait,80290,82672,84858,81594,79290,75582,76145,73742,71164
93,Kyrgyzstan,2601,2610,2761,2923,3021,3082,3108,3199,3317
94,Lao People's Democratic Republic,3970,4181,4506,4826,5166,5460,5748,5985,6317
95,Latvia,18481,19768,20687,21518,22094,22890,23648,24853,26301
96,Lebanon,14212,13759,13291,12771,12197,11755,11547,11635,11136
97,Lesotho,3044,3046,3119,3122,3121,3217,3347,3228,3244
98,Liberia,1020,1094,1108,1174,1152,1137,1091,1085,1040
99,Libya,28751,11114,24327,11856,9285,9048,8799,10997,11685
100,Liechtenstein,89070,79352,70267,92611,95536,96869,97351,98006,99732
101,Lithuania,20672,22015,23326,24492,25912,25924,26860,28375,29775
102,Luxembourg,66588,63525,62078,60205,60323,62935,62818,65101,65543
103,Madagascar,1371,1346,1326,1320,1332,1323,1339,1374,1404
104,Malawi,1061,1082,1062,1078,1112,1110,1130,1149,1159
105,Malaysia,20374,21290,21836,22641,23686,24703,25394,26555,27227
106,Maldives,10526,11162,11105,11185,11654,11658,11978,12234,12549
107,Mali,1804,1811,1734,1744,1813,1868,1904,1964,1965
108,Malta,26854,27670,27927,28688,30663,32640,32619,33461,34795
109,Marshall Islands,3923,3978,3956,4148,4314,4605,4506,4587,4633
110,Mauritania,3398,3379,3449,3566,3629,3622,3636,3682,3746
111,Mauritius,15783,16247,17590,18760,19421,20188,20893,21966,22724
112,Mexico,15970,16258,16568,16411,16757,17074,17344,17533,17628
113,Micronesia (Federated States of),3439,3519,3468,3395,3272,3728,3635,3700,3700
114,Moldova (Republic of),5073,5357,5454,5956,6212,6032,6292,6603,6833
115,Mongolia,7086,8124,8981,10079,10384,10435,10324,9892,10784
116,Montenegro,13921,14589,14310,14847,15001,15647,15883,16855,17511
117,Morocco,6366,6591,6671,6923,6939,7183,7169,7342,7480
118,Mozambique,913,970,1021,1065,1103,1133,1138,1139,1154
119,Myanmar,3688,3864,3951,4284,4547,4863,5155,5443,5764
120,Namibia,8348,8718,8863,9534,10011,10402,10171,9779,9683
121,Nauru,7694,8162,9474,12321,14991,15203,16239,17345,17313
122,Nepal,2002,2064,2172,2267,2426,2496,2486,2639,2748
123,Netherlands,46241,47251,46735,46374,46129,46976,47008,48994,50013
124,New Zealand,30643,31252,31911,32521,33193,33983,34538,34668,35108
125,Nicaragua,3855,4047,4245,4397,4561,4709,4859,5025,4790
126,Niger,806,793,843,849,884,884,892,901,912
127,Nigeria,4793,4924,5017,5220,5494,5540,5336,5203,5086
128,North Macedonia,11192,11404,11296,11589,12057,12338,12552,12570,12874
129,Norway,62994,62729,63523,63573,65438,66584,66746,67529,68059
130,Oman,42949,39387,40034,39832,37675,38837,39066,37379,37039
131,Pakistan,4227,4278,4360,4457,4590,4727,4891,5033,5190
132,Palau,13539,14510,14923,14267,15092,16045,16325,15981,16720
133,"Palestine, State of",4287,4721,4926,4980,4957,5103,5253,5284,5314
134,Panama,14182,16086,17235,17914,17985,18636,19212,20066,20455
135,Papua New Guinea,2854,2881,2947,2833,3469,3739,3810,3765,3686
136,Paraguay,9275,9668,9406,10092,10477,10649,10922,11430,11720
137,Peru,9360,9842,10497,11163,11392,11760,11956,11987,12323
138,Philippines,6737,6816,7179,7637,7947,8290,8701,9133,9540
139,Poland,20986,22025,22356,22766,23447,24369,25042,26182,27626
140,Portugal,26318,26264,25180,25305,25572,25860,26559,27404,27935
141,Qatar,109354,114214,112528,112039,111753,114105,113965,113133,110489
142,Romania,17207,17608,18044,18654,19558,20157,21173,22828,23906
143,Russian Federation,22647,23594,24388,24675,24465,24032,24096,24472,25036
144,Rwanda,1386,1455,1538,1564,1634,1731,1785,1849,1959
145,Saint Kitts and Nevis,23640,23898,23690,25084,24854,25298,25894,26287,26770
146,Saint Lucia,11337,11881,11626,11502,10787,10480,11142,11599,11528
147,Saint Vincent and the Grenadines,9832,9774,10036,9994,10535,11497,11337,11333,11746
148,Samoa,5240,5459,5458,5303,5320,5456,5795,5876,5885
149,Sao Tome and Principe,2567,2621,2590,2736,2883,2880,2962,3002,3024
150,Saudi Arabia,45958,49173,50283,50244,50755,51509,51099,49371,49338
151,Senegal,2749,2696,2754,2752,2846,2933,3018,3139,3256
152,Serbia,13083,13453,13282,13634,13488,13677,14078,14280,15218
153,Seychelles,19226,20991,21340,22225,22638,23355,23671,24431,25077
154,Sierra Leone,1222,1238,1460,1661,1673,1309,1228,1360,1381
155,Singapore,72280,73422,74094,75742,79236,77686,78759,81500,83793
156,Slovakia,24585,24896,25716,26328,26939,27693,28706,29544,30672
157,Slovenia,28291,28411,27545,27253,28149,28128,29114,30777,32143
158,Solomon Islands,1364,1489,1840,1961,1967,2033,1986,1970,2027
159,South Africa,11723,11868,11923,12038,12063,12052,11908,11864,11756
160,South Sudan,2421,2381,2234,2372,2310,2096,1686,1518,1455
161,Spain,32045,31512,30888,30516,31088,32265,33379,34226,35041
162,Sri Lanka,8409,9064,9804,9996,10399,10789,11124,11378,11611
163,Sudan,3128,3494,3758,2685,3772,3904,3994,4092,3962
164,Suriname,13793,13912,14435,14896,14955,14448,12792,11607,11933
165,Sweden,44175,44717,44360,44514,45157,46168,46662,47398,47955
166,Switzerland,59150,56832,57403,57718,57463,58723,58138,57301,59375
167,Syrian Arab Republic,6086,5752,4567,3538,2830,2658,2551,2633,2725
168,Tajikistan,2704,2863,3006,3190,3133,3089,3168,3262,3482
169,Tanzania (United Republic of),2187,2286,2328,2410,2494,2562,2648,2743,2805
170,Thailand,12921,13211,13797,13840,14101,14466,14966,15548,16129
171,Timor-Leste,8155,7974,4717,6233,5666,8284,8350,7434,7527
172,Togo,1259,1364,1361,1413,1463,1539,1545,1560,1593
173,Tonga,5153,5298,5393,5252,5306,5534,5678,5836,5783
174,Trinidad and Tobago,29737,27546,28402,29770,29142,31160,28854,28786,28497
175,Tunisia,9977,9661,9991,10126,10419,10484,10531,10564,10677
176,Turkey,17804,19481,20106,21414,22146,23048,23409,24702,24905
177,Turkmenistan,9109,10128,11077,12083,13041,14115,15236,15710,16407
178,Tuvalu,4779,4743,3971,4845,4186,5315,5239,5075,5409
179,Uganda,1559,1654,1656,1658,1684,1717,1733,1727,1752
180,Ukraine,7715,8089,8179,8194,8145,7373,7601,7670,7994
181,United Arab Emirates,55342,56592,57900,60675,63062,66093,67410,67136,66912
182,United Kingdom,36534,36966,36707,36825,37627,38116,38421,39216,39507
183,United States,50297,50813,51533,52092,52982,54039,54443,55351,56140
184,Uruguay,16521,17382,17192,18306,18632,19036,19196,19400,19435
185,Uzbekistan,4373,4645,4980,5351,5573,5759,5968,6190,6462
186,Vanuatu,2846,2820,2700,2835,2840,2680,2751,2799,2808
187,Venezuela (Bolivarian Republic of),16783,16882,17532,17459,17111,15101,12570,10670,9070
188,Viet Nam,4266,4461,4655,4843,5052,5314,5638,5916,6220
189,Yemen,3688,3876,3365,3351,3296,2668,1966,1508,1433
190,Zambia,3114,3251,3520,3482,3615,3617,3622,3553,3582
191,Zimbabwe,1689,1861,2158,2239,2259,2226,2246,2318,2661
