LOCATION,SUBJECT,TIME,Value
AUS,TOT,2016,82.5
AUT,TOT,2016,81.7
BEL,TOT,2016,81.5
CAN,TOT,2016,82.0
CZE,TOT,2016,79.1
DNK,TOT,2016,80.9
FIN,TOT,2016,81.5
FRA,TOT,2016,82.7
DEU,TOT,2016,81.1
GRC,TOT,2016,81.5
HUN,TOT,2016,76.2
ISL,TOT,2016,82.3
IRL,TOT,2016,81.7
ITA,TOT,2016,83.3
JPN,TOT,2016,84.1
KOR,TOT,2016,82.4
LUX,TOT,2016,82.8
MEX,TOT,2016,75.2
NLD,TOT,2016,81.6
NZL,TOT,2016,81.7
NOR,TOT,2016,82.5
POL,TOT,2016,78.0
PRT,TOT,2016,81.2
SVK,TOT,2016,77.3
ESP,TOT,2016,83.4
SWE,TOT,2016,82.4
CHE,TOT,2016,83.7
TUR,TOT,2016,78.0
GBR,TOT,2016,81.2
USA,TOT,2016,78.7
BRA,TOT,2016,75.3
CHL,TOT,2016,80.0
CHN,TOT,2016,76.3
EST,TOT,2016,77.8
IND,TOT,2016,68.9
IDN,TOT,2016,71.1
ISR,TOT,2016,82.5
RUS,TOT,2016,71.8
SVN,TOT,2016,81.3
ZAF,TOT,2016,63.2
COL,TOT,2016,76.7
LVA,TOT,2016,74.7
LTU,TOT,2016,74.8
CRI,TOT,2016,80.1
