Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Afghanistan,2011,3.83171916,7.415018559,0.521103561,51.91999817,0.495901406,0.172136664,0.731108546,0.6113873120000001,0.267174691,0.307385713,-1.9190182690000002,-1.616221189,1.78535974,0.465942234,,,0.336764246
Albania,2011,5.867421627000001,9.230903625,0.759433806,66.68000031,0.48749625700000004,-0.207943127,0.877002597,0.627659321,0.256576508,,-0.110022828,-0.27841264,1.845783353,0.31458169199999997,,0.30325,0.407266378
Algeria,2011,5.317194462,9.471961975,0.810234487,64.66000366,0.529561281,-0.204405874,0.637981653,0.5502033829999999,0.25489664100000003,,-1.18234086,-0.776610017,1.6604206559999999,0.31227383,0.276,0.276,0.42620164200000005
Angola,2011,5.589000702000001,8.684613228,0.723094344,52.5,0.583701789,0.065088294,0.911320329,0.658646524,0.36106315299999997,0.23238717,-0.747358084,-1.215249777,2.212473869,0.395862162,,0.4735,
Argentina,2011,6.775805472999999,9.884780884,0.889073491,67.48000336,0.815802038,-0.170261562,0.754645705,0.840047896,0.23185515399999998,0.607537687,0.251967728,-0.44232934700000004,1.987598896,0.293337643,0.423,0.4609375,0.347596169
Armenia,2011,4.2604913710000005,8.856818199,0.705108464,65.36000061,0.464524716,-0.211577132,0.874601007,0.47454935299999995,0.45907408,0.335884422,-0.377324402,-0.238400981,1.95014751,0.457728297,0.294,0.31925,0.385223031
Australia,2011,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,,0.34275,0.43118131200000004
Austria,2011,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1.848879695,0.24749033199999998,0.308,0.302692308,0.34694165
Azerbaijan,2011,4.680469513,9.664858817999999,0.725193918,63.63999939,0.5374842879999999,-0.12527708699999998,0.795119047,0.53580451,0.258117318,0.741815805,-0.91699177,-0.802419841,1.878108263,0.401264936,,0.21100000000000002,0.329581141
Bahrain,2011,4.82397604,10.60074043,0.90786773,66.58000183,0.869870365,-0.059311684,0.5825224520000001,0.543587804,0.513719201,,-1.084079385,0.45281717200000005,1.8084203,0.374881685,,,0.346707255
Bangladesh,2011,4.985649109,7.85199213,0.606459022,61.11999893,0.83799535,-0.063727379,0.757002652,0.684993863,0.234981537,0.786452591,-0.859902918,-0.84662044,1.8582873340000001,0.372727275,,0.32775,0.426140636
Belarus,2011,5.2253079410000005,9.7507267,0.909887791,62.88000107,0.656010866,-0.17566178699999999,0.671938658,0.520889699,0.249455392,,-0.873988688,-1.010501742,1.977775455,0.378499299,0.272,0.281294118,0.285031617
Belgium,2011,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,1.62850821,0.229000822,0.281,0.284307692,0.447315395
Benin,2011,3.8702795510000003,7.507083416,0.47749438899999996,51.97999954,0.7729187609999999,-0.11908370300000001,0.849472225,0.62582016,0.21867846,0.777150393,0.242373466,-0.537246227,1.6949880119999998,0.43794977700000004,0.434,0.432666667,0.355523527
Bolivia,2011,5.778874397,8.630255699,0.816782832,61.34000015,0.7816737290000001,-0.033498518,0.8248543140000001,0.760786295,0.361485541,0.334731668,-0.24268215899999998,-0.6941736940000001,1.7346929309999999,0.300178349,0.461,0.5216,0.37184712299999995
Bosnia and Herzegovina,2011,4.994670868,9.200452805,0.725242853,66.73999786,0.333312094,-0.035492908,0.924784362,0.596072555,0.325734705,,-0.48977494200000005,-0.357607812,2.048555613,0.41014826299999996,0.33,0.3256,0.39197146899999996
Botswana,2011,3.5199210639999996,9.538871765,0.860028088,53.68000031,0.8125140670000001,-0.25706195800000003,0.816158473,0.7393146159999999,0.159782797,0.791794062,0.745215297,0.654412508,1.964174747,0.558016717,,0.626,0.6096081729999999
Brazil,2011,7.037816525,9.614010811,0.916252911,64.76000214,0.833655775,-0.08239139599999999,0.662166715,0.807466984,0.267524213,0.5028913620000001,0.190550372,0.063088119,2.039300442,0.289763242,0.529,0.547285714,0.41012552399999996
Bulgaria,2011,3.875382423,9.659895897,0.860272288,65.80000305,0.663527906,-0.230002597,0.947978675,0.533738077,0.270931035,0.265244752,0.37591522899999996,0.080465563,1.994312286,0.514610469,0.34299999999999997,0.35466666700000005,0.36853116799999996
Burkina Faso,2011,4.7853674889999995,7.294863701000001,0.709528148,50.24000168,0.7245684859999999,-0.09537372699999999,0.706798375,0.578625023,0.204735845,0.632864714,-0.41778346899999996,-0.36634758100000003,1.6094229219999998,0.33632171200000005,,0.394666667,0.45417466799999995
Burundi,2011,3.705894232,6.648348808,0.42224001899999997,50.68000031,0.489863038,-0.05782805,0.677107692,0.688906729,0.190344945,0.851199687,-1.367416143,-1.100341678,1.745887041,0.47111088,,0.36,0.6464073060000001
Cambodia,2011,4.161225319,7.885595798,0.715518951,58.88000107,0.927462399,0.417438745,0.775355637,0.7992312309999999,0.307868689,0.901219606,-0.60927397,-0.932540059,1.331609726,0.320004225,,,0.5260382889999999
Cameroon,2011,4.433885098,7.995996475,0.737992823,48.70000076,0.816693783,-0.031873856,0.8696156740000001,0.597826481,0.27167633199999996,0.645140469,-0.8474045990000001,-0.979234457,1.940715432,0.43770089700000003,,0.438333333,0.49091962
Canada,2011,7.426053523999999,10.63502026,0.921669245,72.36000061,0.9509252909999999,0.245647863,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,,0.3368,0.9614353179999999
Central African Republic,2011,3.677826405,6.807504654,0.38739091200000003,43.08000183,0.780017793,0.00380958,0.834498882,0.524068475,0.277179927,0.78385824,-1.438443661,-1.1778417829999999,1.707944989,0.464389771,,0.499,0.541746914
Chad,2011,4.393482208,7.530396937999999,0.81884402,45.41999817,0.540267944,0.017806349,0.8763836620000001,0.591422617,0.289146483,0.394194484,-1.334058404,-1.299733877,1.74170661,0.39642965799999996,0.433,0.4155,0.49508631200000003
Chile,2011,6.5263347629999995,9.925136566,0.819078863,69.04000092,0.700734138,0.1029673,0.7527555229999999,0.803743482,0.316876173,0.322867334,0.763231277,1.400258541,2.067713022,0.316826075,0.47600000000000003,0.491571429,0.495457828
China,2011,5.037207603,9.248056412,0.787171185,67.76000214,0.8241623640000001,-0.201895729,,0.820073843,0.133503452,,-1.119832039,-0.276294053,1.880536795,0.373329222,,0.425,0.486982495
Colombia,2011,6.463952541,9.349796295,0.904147327,65.91999817,0.810907423,-0.077774651,0.847268522,0.831615269,0.28595885600000004,0.445631891,-0.672184885,-0.03662632,2.365248442,0.365913659,0.536,0.5416,0.458029389
Comoros,2011,3.8384859560000004,7.254610538,0.7218327520000001,55.02000046,0.499673873,-0.027397812999999997,0.731508493,0.6666200760000001,0.173323005,0.441241771,-0.46334403799999996,-1.22884655,1.353431702,0.35259518,,0.506,0.401081562
Congo (Brazzaville),2011,4.509824276,8.559092522,0.637117505,54.58000183,0.744807184,-0.144604176,0.832713723,0.621049702,0.28787604,0.46838018299999995,-0.731149077,-1.195615888,1.960113525,0.434631914,0.489,0.48100000000000004,0.47116214
Congo (Kinshasa),2011,4.516963959,6.525662898999999,0.7439466709999999,50.34000015,0.6311085820000001,-0.008086032,0.8564949040000001,0.61680603,0.20835229800000002,0.350868344,-1.849072695,-1.561689615,1.587968469,0.35155659899999997,,0.4215,0.51291126
Costa Rica,2011,7.228888512,9.502802849,0.89204818,69.90000153,0.9261057970000001,-0.029892457999999997,0.836583257,0.875645041,0.26922521,0.32253301100000004,0.781069398,0.47204279899999996,2.202579498,0.304691315,0.48700000000000004,0.490882353,0.517536998
Croatia,2011,5.385372639,9.940322876,0.789738715,68.0,0.5169324279999999,-0.199542955,0.976777494,0.59750998,0.272979707,,0.572414756,0.34502971200000004,2.011208296,0.37345758100000004,0.32299999999999995,0.321428571,0.33498314
Cyprus,2011,6.689608574,10.41007519,0.8436545129999999,72.54000092,0.745468855,0.174038678,0.8406764859999999,0.763074279,0.272299588,0.399997503,0.830783844,1.184861422,2.202466965,0.329237044,0.326,0.32616666699999997,0.526920259
Czech Republic,2011,6.331490992999999,10.26804066,0.91351074,68.23999786,0.787180007,-0.10824278,0.949787855,0.600925982,0.252808869,0.206286699,1.065891027,0.877707362,1.9321316480000001,0.305162191,0.264,0.26416666699999997,0.269167125
Denmark,2011,7.78823185,10.70107079,0.961736143,70.62000275,0.9347601529999999,0.292957395,0.220043078,0.7694360020000001,0.174883381,0.471823335,1.325999975,2.083353519,1.500663996,0.19268353300000002,0.273,0.267,0.61589241
Djibouti,2011,4.369193554,7.90300703,0.6329732539999999,54.70000076,0.746439457,-0.065349184,0.518930137,0.579302847,0.180592626,0.678491235,-0.616717458,-0.675337195,2.378350019,0.5443453189999999,,0.430666667,
Dominican Republic,2011,5.396535397,9.335522652,0.872086227,64.01999664,0.847975314,0.013056918,0.788254738,0.80884105,0.299839288,0.410130858,0.044975717000000005,-0.592909813,3.001254082,0.556144595,0.474,0.48470588200000003,0.685581088
Ecuador,2011,5.795088291,9.203003883,0.818051338,66.95999908,0.7883057,-0.158239976,0.7015956640000001,0.861699998,0.27068767,0.593581021,-0.489961177,-0.8816601040000001,2.303764343,0.39753741,0.45899999999999996,0.496,0.32181271899999997
Egypt,2011,4.174158573,9.192565918,0.753394485,60.15999985,0.589537799,-0.15840126599999999,0.858596265,0.528634012,0.35341697899999996,0.63178885,-1.288520098,-0.514961481,2.060873747,0.493721962,,0.312,0.39017787600000003
El Salvador,2011,4.741294861,8.781316757,0.731277883,64.40000153,0.747246385,-0.124661237,0.7065528040000001,0.875323594,0.33632153299999995,0.490076542,0.077475488,-0.153904423,2.583855629,0.5449683670000001,0.423,0.457823529,0.400776029
Estonia,2011,5.486819744,10.10818481,0.9087126259999999,66.95999908,0.7352253790000001,-0.171402186,0.68678391,0.651386082,0.205158427,0.417540222,0.872383595,1.176006198,1.9515161509999999,0.35567346200000005,0.325,0.332461538,0.38115912700000004
Finland,2011,7.354225158999999,10.6135788,0.937856853,70.63999939,0.936448395,0.096755996,0.319593191,0.772944152,0.20523864,0.565402389,1.4505112169999999,2.052244186,1.613047361,0.219336137,0.276,0.275615385,0.458035171
France,2011,6.959185122999999,10.53051186,0.92128557,72.40000153,0.903366625,-0.106961221,0.626624525,0.780809402,0.28099477300000003,0.375089258,0.8868305679999999,1.374962091,1.681088209,0.241563946,0.33299999999999996,0.320923077,0.45064759299999996
Gabon,2011,4.255400658,9.673668861,0.652701557,55.47999954,0.771871924,-0.227937222,0.850830913,0.591380835,0.263955116,0.534545362,-0.26015421699999997,-0.672225416,1.943462014,0.456704825,,0.42200000000000004,0.637170076
Georgia,2011,4.203030586000001,8.897694588,0.502937376,64.86000061,0.632464528,-0.238249794,0.35334640700000003,0.514920652,0.246770427,0.6573436260000001,-0.41482541,0.302998662,1.9586343769999999,0.46600526600000003,0.395,0.380117647,0.47375822100000003
Germany,2011,6.621312141000001,10.6617794,0.947236657,70.98000336,0.906293273,0.028837385,0.677172124,0.7936662440000001,0.165199533,0.42458313700000005,1.095714569,1.617307305,1.850586772,0.279489428,0.305,0.306222222,0.434343398
Ghana,2011,5.608199596,8.13284111,0.724297225,54.47999954,0.851896167,0.017653981000000003,0.790444314,0.743967116,0.209212631,0.683400929,0.325884968,0.010957526,2.597171307,0.46310252,,0.426,0.552934766
Greece,2011,5.372039795,10.17127228,0.85155499,71.55999756,0.5281259420000001,-0.317883313,0.941152513,0.591371894,0.322790802,0.17515121399999997,0.360879898,0.370681077,2.212227583,0.41180402,0.348,0.346384615,0.325478792
Guatemala,2011,5.743353844,8.831199646,0.768112421,62.45999908,0.7629631159999999,0.006181439,0.8630393740000001,0.844493687,0.28935790100000003,0.355844259,-0.528053045,-0.598914325,2.548027515,0.44364801,,0.523666667,0.435575217
Guinea,2011,4.044569492,7.393607616000001,0.598465562,50.22000122,0.796830237,0.048240729,0.7432562709999999,0.700549304,0.260133177,0.768311977,-1.137896299,-1.16944766,1.7353841069999998,0.42906522799999997,,0.387,0.452601314
Haiti,2011,4.844573975,7.353900909,0.5670390129999999,36.86000061,0.412587792,0.242826357,0.6819601059999999,0.6252401470000001,0.24485564199999998,0.45666796,-0.869595647,-1.33922708,1.731061816,0.357319713,,0.41100000000000003,0.499585599
Honduras,2011,4.961031437,8.305502892,0.76570183,65.72000122,0.7833690640000001,0.102324687,0.883963168,0.815691471,0.307470977,0.293331981,-0.42954585,-0.599600911,2.666193485,0.537427247,0.562,0.5466875,0.480978787
Hong Kong S.A.R. of China,2011,5.474010944,10.82149601,0.846060157,75.22769165,0.8943301440000001,0.22381402600000003,0.244886592,0.733887315,0.195711568,0.584562063,0.76178205,1.709979296,1.9365910290000001,0.353779167,,,
Hungary,2011,4.917602539,10.03632164,0.893662214,65.76000214,0.631100118,-0.09554869699999999,0.939908028,0.642114282,0.30451956399999996,0.35979417,0.790113568,0.717952192,2.09452486,0.42592397299999996,0.292,0.29791666699999997,0.320391357
India,2011,4.634871483,8.441580772,0.552593112,57.70000076,0.837551653,-0.049686003,0.9077935220000001,0.6481671929999999,0.23159448800000002,0.5803536770000001,-0.445488393,-0.241387933,1.788021326,0.385775805,0.35100000000000003,0.35100000000000003,0.417843133
Indonesia,2011,5.172608376,9.086795807,0.82497704,60.61999893,0.8782871959999999,0.42660450899999997,0.962294877,0.8638148309999999,0.27341604199999997,0.739044189,-0.389322609,-0.47656080100000003,1.43522644,0.277466685,,0.395,0.384161025
Iran,2011,4.767507076,9.808743477,0.582237065,64.13999939,0.7975736859999999,0.16944178899999998,0.664581537,0.578113675,0.359067976,0.8035792709999999,-1.5024418830000001,-0.947962582,2.448979855,0.5136814120000001,,0.4134,0.539592624
Iraq,2011,4.725366116,9.492628097999999,0.750748634,59.36000061,0.347414047,-0.105158381,0.7800272109999999,0.487618536,0.557098687,0.366801709,-1.458242536,-1.211656213,1.74636209,0.369571805,,0.2905,0.264834195
Ireland,2011,7.006904125,10.71768761,0.977377594,71.59999847,0.952034354,0.379793316,0.589912653,0.86522454,0.19030945,0.529104173,1.127179742,1.5939091440000002,1.888444901,0.269512028,0.32899999999999996,0.326153846,0.502658725
Israel,2011,7.433147907,10.32739449,0.8926965590000001,72.45999908,0.722269237,0.13853652800000002,0.891295373,0.7379072309999999,0.38447502299999997,0.271090537,-0.27400425100000003,1.119241357,1.823536634,0.24532495399999998,,0.4112,0.285089433
Italy,2011,6.057086468,10.50087643,0.913309336,72.83999634,0.567738414,-0.020065753000000002,0.9334609509999999,0.6583942770000001,0.265567929,0.25955969100000004,0.70651567,0.43591269899999996,1.630717635,0.26922476300000003,0.35100000000000003,0.344,0.32957381
Jamaica,2011,5.374446392,8.999515533,0.854584217,66.22000122,0.795613527,-0.061701879,0.909116149,0.835871994,0.23715882,0.36498814799999996,0.20808394300000002,-0.011335485,2.33376193,0.43423298,,0.469,0.614988685
Japan,2011,6.262793541000001,10.48499584,0.916703701,73.98000336,0.814396441,-0.06277260900000001,0.733798981,0.7757174370000001,0.18105547100000002,0.231063634,1.033112645,1.356333971,1.9874373669999998,0.31734040399999996,,0.321,0.373215824
Jordan,2011,5.539327621,9.128501892000001,0.87791878,65.0,0.7595645190000001,-0.14152747400000001,,0.61202389,0.26032415,,-0.654883742,0.18064931,2.10824132,0.380595177,,0.34299999999999997,0.335097253
Kazakhstan,2011,5.735662937000001,9.965378761,0.904971361,60.72000122,0.877888083,-0.245874509,0.801724195,0.695143759,0.154433981,0.716494739,-0.7299700379999999,-0.554897785,1.8049585819999998,0.31469050000000004,0.28,0.305866667,0.36513748799999995
Kenya,2011,4.4053101539999995,7.84657526,0.846307576,56.06000137,0.7086591720000001,0.036738768,0.922664165,0.760371685,0.227972493,0.45898237799999997,-0.7571554779999999,-0.658740222,1.73718667,0.394339234,,0.4365,0.597797513
Kosovo,2011,4.859501839,9.013744354,0.75910157,63.25830078,0.5889787670000001,-0.002331664,0.919211984,0.6959663629999999,0.12443766,,-0.639118314,-0.42870742100000003,2.068913937,0.425746083,0.278,0.289909091,0.41219100399999997
Kuwait,2011,6.377699375,11.25751114,0.881911993,64.90000153,0.7686035040000001,,0.560423911,0.793242276,0.17682513600000002,,-0.123735443,0.185835257,1.496177197,0.23459512,,,0.415003777
Kyrgyzstan,2011,4.921049118,7.979545592999999,0.891404092,61.52000046,0.7478084559999999,-0.133019522,0.932496965,0.6814293859999999,0.151315898,0.43668875100000004,-0.8905090090000001,-0.8142959479999999,1.559508562,0.316905707,0.278,0.304117647,0.33844229600000003
Laos,2011,4.7037496569999995,8.410755157,0.690877795,56.29999924,0.881633818,0.460458517,0.587321937,0.899812341,0.225278497,0.9818035959999999,-0.8682566290000001,-0.997297168,1.002511978,0.213130385,,0.348,0.51728487
Latvia,2011,4.966811657,9.892091751,0.836042464,64.86000061,0.56446445,-0.005147552,0.9342556000000001,0.563278019,0.221713215,0.107237339,0.5283887389999999,0.672904313,1.912062287,0.384967744,0.358,0.360333333,0.333452344
Lebanon,2011,5.187571526,9.661013602999999,0.732914627,65.27999878,0.657106042,0.006596841,0.910560846,0.578010738,0.320167035,,-0.9742107390000001,-0.479637355,2.187575579,0.42169550100000003,0.318,0.318,0.388565689
