LOCATION,SUBJECT,TIME,Value
AUS,TOT,2012,82.1
AUT,TOT,2012,81.0
BEL,TOT,2012,80.5
CAN,TOT,2012,81.5
CZE,TOT,2012,78.2
DNK,TOT,2012,80.1
FIN,TOT,2012,80.7
FRA,TOT,2012,82.1
DEU,TOT,2012,80.6
GRC,TOT,2012,80.7
HUN,TOT,2012,75.2
ISL,TOT,2012,83.0
IRL,TOT,2012,80.9
ITA,TOT,2012,82.3
JPN,TOT,2012,83.2
KOR,TOT,2012,80.9
LUX,TOT,2012,81.5
MEX,TOT,2012,74.4
NLD,TOT,2012,81.2
NZL,TOT,2012,81.2
NOR,TOT,2012,81.5
POL,TOT,2012,76.9
PRT,TOT,2012,80.5
SVK,TOT,2012,76.2
ESP,TOT,2012,82.5
SWE,TOT,2012,81.8
CHE,TOT,2012,82.8
TUR,TOT,2012,74.6
GBR,TOT,2012,81.0
USA,TOT,2012,78.8
BRA,TOT,2012,74.2
CHL,TOT,2012,79.2
CHN,TOT,2012,75.1
EST,TOT,2012,76.5
IND,TOT,2012,67.6
IDN,TOT,2012,69.9
ISR,TOT,2012,81.8
RUS,TOT,2012,70.2
SVN,TOT,2012,80.2
ZAF,TOT,2012,60.1
COL,TOT,2012,75.9
LVA,TOT,2012,73.9
LTU,TOT,2012,74.0
CRI,TOT,2012,79.4
