LOCATION,SUBJECT,TIME,Value
AUS,TOT,2018,82.8
AUT,TOT,2018,81.8
BEL,TOT,2018,81.7
CAN,TOT,2018,82.0
CZE,TOT,2018,79.1
DNK,TOT,2018,81.0
FIN,TOT,2018,81.8
FRA,TOT,2018,82.8
DEU,TOT,2018,81.0
GRC,TOT,2018,81.9
HUN,TOT,2018,76.2
ISL,TOT,2018,82.9
IRL,TOT,2018,82.3
ITA,TOT,2018,83.4
KOR,TOT,2018,82.7
LUX,TOT,2018,82.4
MEX,TOT,2018,75.0
NLD,TOT,2018,81.9
NZL,TOT,2018,81.8
NOR,TOT,2018,82.8
POL,TOT,2018,77.7
PRT,TOT,2018,81.4
SVK,TOT,2018,77.4
ESP,TOT,2018,83.5
SWE,TOT,2018,82.6
CHE,TOT,2018,83.8
TUR,TOT,2018,78.3
GBR,TOT,2018,81.3
USA,TOT,2018,78.7
BRA,TOT,2018,75.7
CHL,TOT,2018,80.4
CHN,TOT,2018,76.8
EST,TOT,2018,78.4
IND,TOT,2018,69.5
IDN,TOT,2018,71.6
ISR,TOT,2018,82.9
RUS,TOT,2018,72.8
SVN,TOT,2018,81.5
ZAF,TOT,2018,63.9
COL,TOT,2018,77.1
LVA,TOT,2018,74.9
LTU,TOT,2018,75.8
CRI,TOT,2018,80.4
