Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year"
Afghanistan,2016,4.220168591,7.497038364,0.5590717789999999,53.0,0.522566199,0.051364917,0.7932455540000001,0.564952672,0.348332286,0.324989557,-1.855426311,-1.3927128309999999,1.796219468,0.42562741,,,0.418629497
Albania,2016,4.511100769,9.337532043,0.638411462,68.09999847,0.72981894,-0.020687405,0.901070774,0.675243735,0.32170599699999997,0.400909811,0.257291853,-0.134950414,2.646668196,0.586701214,,0.30325,0.416540354
Algeria,2016,5.340853691,9.541166306000001,0.7485882640000001,65.5,,,,0.66051048,0.377111971,,-0.976651907,-0.815911233,2.114553452,0.395920485,,0.276,0.6046167020000001
Argentina,2016,6.427221297999999,9.830087662,0.882819116,68.40000153,0.847702205,-0.18830381300000001,0.850924492,0.8419067259999999,0.31164646100000004,0.419561833,0.348582,-0.24365305899999998,2.127108574,0.330953062,0.424,0.4609375,0.332070827
Armenia,2016,4.325471878,9.010698318,0.709218323,66.30000305,0.610986948,-0.157248631,0.9214210509999999,0.593600273,0.437227815,0.18471303600000002,-0.620787561,-0.147838444,2.126364231,0.491591275,0.325,0.31925,0.381563634
Australia,2016,7.250080109,10.7030983,0.942334235,73.0,0.922315717,0.229792744,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.6988278630000002,0.234318495,,0.34275,0.520914137
Austria,2016,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1.7044001819999999,0.241825029,,0.302692308,0.292294294
Azerbaijan,2016,5.303894997,9.680426598,0.777271032,64.90000153,0.712573171,-0.22437793,0.606770813,0.5975934860000001,0.191117197,0.734052122,-1.183456182,-0.449871927,1.613181591,0.30415037300000003,,0.21100000000000002,0.288716018
Bahrain,2016,6.169673443,10.68379784,0.862700105,68.09999847,0.888691068,0.080128744,,0.7871872190000001,0.283466339,,-1.0827505590000002,0.342247546,2.259225607,0.366182357,,,0.482455522
Bangladesh,2016,4.556140900000001,8.107524872,0.649116933,63.29999924,0.874700487,-0.083881758,0.6878536340000001,0.559939086,0.235022455,0.845429063,-0.923605621,-0.7502162459999999,1.982582808,0.435145199,0.324,0.32775,0.440177441
Belarus,2016,5.177899361000001,9.727537155,0.9265511040000001,65.5,0.658228815,-0.13318756199999998,0.664055169,0.5538702010000001,0.18210612199999998,0.452669024,-0.598577619,-0.599957705,1.777631164,0.34331125,0.27,0.281294118,0.316431254
Belgium,2016,6.948936462000001,10.64741421,0.9289640779999999,71.59999847,0.865759015,-0.058440432,0.49665909999999996,0.764590085,0.259653389,0.41917750200000004,0.909132481,1.4242153169999998,1.497023702,0.215432063,,0.284307692,0.34862980200000004
Benin,2016,4.0073575969999995,7.605700016,0.49281585200000005,53.5,0.7797952290000001,-0.042874601,0.837715745,0.608236969,0.45576760200000005,0.63744539,0.206786573,-0.554827392,2.191754103,0.546932518,,0.432666667,0.464345634
Bolivia,2016,5.769723415,8.811049461,0.7959587570000001,63.0,0.8817487359999999,-0.041593142,0.852592945,0.783008873,0.376412243,0.40174228,-0.142896414,-0.855461538,2.050573111,0.355402321,0.446,0.5216,0.430949569
Bosnia and Herzegovina,2016,5.180865288,9.335877419,0.8077051040000001,67.19999695,0.633453727,0.134780556,0.957311988,0.640764356,0.304080278,0.212188497,-0.265015751,-0.30855292100000004,2.216048717,0.427737176,,0.3256,0.39874333100000003
Botswana,2016,3.4989366530000003,9.663145065,0.768302798,57.5,0.851694882,-0.258511871,0.729171813,0.68566674,0.251836598,0.803130805,0.692296803,0.626120031,2.685791492,0.767602205,,0.626,0.658420265
