LOCATION,SUBJECT,TIME,Value
AUS,TOT,2013,82.2
AUT,TOT,2013,81.2
BEL,TOT,2013,80.7
CAN,TOT,2013,81.7
CZE,TOT,2013,78.3
DNK,TOT,2013,80.4
FIN,TOT,2013,81.1
FRA,TOT,2013,82.3
DEU,TOT,2013,80.6
GRC,TOT,2013,81.4
HUN,TOT,2013,75.7
ISL,TOT,2013,82.1
IRL,TOT,2013,81.0
ITA,TOT,2013,82.8
JPN,TOT,2013,83.4
KOR,TOT,2013,81.4
LUX,TOT,2013,81.9
MEX,TOT,2013,74.6
NLD,TOT,2013,81.4
NZL,TOT,2013,81.4
NOR,TOT,2013,81.8
POL,TOT,2013,77.1
PRT,TOT,2013,80.8
SVK,TOT,2013,76.5
ESP,TOT,2013,83.2
SWE,TOT,2013,82.0
CHE,TOT,2013,82.9
TUR,TOT,2013,78.0
GBR,TOT,2013,81.1
USA,TOT,2013,78.8
BRA,TOT,2013,74.5
CHL,TOT,2013,79.4
CHN,TOT,2013,75.4
EST,TOT,2013,77.3
IND,TOT,2013,68.0
IDN,TOT,2013,70.2
ISR,TOT,2013,82.1
RUS,TOT,2013,70.7
SVN,TOT,2013,80.4
ZAF,TOT,2013,61.2
COL,TOT,2013,76.1
LVA,TOT,2013,74.1
LTU,TOT,2013,74.1
CRI,TOT,2013,79.6
