LOCATION,SUBJECT,TIME,Value
AUS,TOT,2011,82.0
AUT,TOT,2011,81.1
BEL,TOT,2011,80.7
CAN,TOT,2011,81.3
CZE,TOT,2011,78.0
DNK,TOT,2011,79.9
FIN,TOT,2011,80.6
FRA,TOT,2011,82.3
DEU,TOT,2011,80.5
GRC,TOT,2011,80.8
HUN,TOT,2011,75.0
ISL,TOT,2011,82.4
IRL,TOT,2011,80.8
ITA,TOT,2011,82.3
JPN,TOT,2011,82.7
KOR,TOT,2011,80.6
LUX,TOT,2011,81.1
MEX,TOT,2011,74.2
NLD,TOT,2011,81.3
NZL,TOT,2011,81.0
NOR,TOT,2011,81.4
POL,TOT,2011,76.8
PRT,TOT,2011,80.6
SVK,TOT,2011,76.1
ESP,TOT,2011,82.6
SWE,TOT,2011,81.9
CHE,TOT,2011,82.8
TUR,TOT,2011,74.6
GBR,TOT,2011,81.0
USA,TOT,2011,78.7
BRA,TOT,2011,74.0
CHL,TOT,2011,79.0
CHN,TOT,2011,74.8
EST,TOT,2011,76.4
IND,TOT,2011,67.2
IDN,TOT,2011,69.6
ISR,TOT,2011,81.7
RUS,TOT,2011,69.8
SVN,TOT,2011,80.1
ZAF,TOT,2011,59.0
COL,TOT,2011,75.6
LVA,TOT,2011,73.7
LTU,TOT,2011,73.7
CRI,TOT,2011,79.1
