,Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018
53,Germany,79.98780488,80.43658537,80.53902439,80.4902439,81.0902439,80.64146341,80.9902439,80.99268293,80.89268293
54,Djibouti,60.062,60.667,61.395,62.239,63.17100000000001,64.13600000000001,65.064,65.893,66.582
55,Dominica,,,,,,,,,
56,Denmark,79.1,79.8,80.05121951,80.3,80.7,80.70243902,80.85365854,81.10243902,80.95365854
57,Dominican Republic,72.046,72.28399999999999,72.523,72.763,73.003,73.241,73.471,73.689,73.892
58,Algeria,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,76.693
59,East Asia & Pacific (excluding high income),73.06626441,73.35512026,73.64529744,73.93437703,74.22047205,74.49622762,74.75561418,74.9949516,75.21051211
60,Early-demographic dividend,68.05602106,68.43890644,68.80321101,69.14517109,69.46092455,69.74850615,70.01122339,70.25420448,70.48319068
61,East Asia & Pacific,74.0129969,74.26595012,74.56212675,74.84821439,75.12517029,75.39255688,75.63554087,75.86595391,76.06833643
62,Europe & Central Asia (excluding high income),70.64357926,71.22011728,71.59716759,72.01526993,72.27180784,72.59582795,72.94881946,73.41270948,73.59078153
63,Europe & Central Asia,75.94068464,76.46477662,76.62455211,76.95209232,77.28593768,77.24096245,77.5932005,77.78542519999999,77.90860669
64,Ecuador,75.089,75.289,75.495,75.707,75.923,76.143,76.365,76.584,76.8
65,"Egypt, Arab Rep.",70.34899999999999,70.543,70.736,70.928,71.117,71.30199999999999,71.482,71.656,71.825
66,Euro area,80.74678098,81.23282485,81.22715817,81.51232873,81.94298277,81.56922911,81.95454533,81.93221523,82.05961728
67,Eritrea,62.193000000000005,62.732,63.238,63.726000000000006,64.20100000000001,64.664,65.111,65.538,65.941
68,Spain,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732
69,Estonia,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244
70,Ethiopia,61.626999999999995,62.505,63.281000000000006,63.961000000000006,64.547,65.048,65.482,65.872,66.24
71,European Union,79.62942606,80.13777288,80.15688815,80.46374093,80.87044758,80.56680714,80.94986464,80.93065884,81.03440922
72,Fragile and conflict affected situations,58.78896344,59.18073262,59.56099013,59.93073823,60.28524934,60.61971101,60.93140778,61.22135933,61.49501233
73,Finland,79.87073171,80.47073171,80.62682927,80.97560976,81.18048780000001,81.4804878,81.42926829,81.63170732,81.73414634
74,Fiji,66.655,66.759,66.859,66.95,67.03,67.10300000000001,67.175,67.252,67.34100000000001
75,France,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.72439024
76,Faroe Islands,80.58780488,80.83902439,81.0902439,81.34146341,81.59268293,81.79512195,82.04634146,82.29756098,82.54878049
77,"Micronesia, Fed. Sts.",66.471,66.646,66.817,66.986,67.152,67.315,67.471,67.618,67.755
78,Gabon,61.4,62.168,62.924,63.648,64.318,64.913,65.418,65.839,66.187
79,United Kingdom,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756
80,Georgia,71.46,71.773,72.097,72.41199999999999,72.707,72.973,73.207,73.414,73.6
81,Ghana,61.03,61.381,61.72,62.06399999999999,62.416000000000004,62.772,63.123999999999995,63.463,63.78
82,Gibraltar,,,,,,,,,
83,Guinea,56.861000000000004,57.387,57.905,58.446999999999996,59.016000000000005,59.598,60.17,60.706,61.185
84,"Gambia, The",59.637,59.917,60.178000000000004,60.426,60.667,60.91,61.166000000000004,61.44,61.735
85,Guinea-Bissau,54.628,55.144,55.645,56.117,56.556000000000004,56.958999999999996,57.328,57.673,58.003
86,Equatorial Guinea,55.622,55.945,56.288000000000004,56.641999999999996,57.001000000000005,57.358999999999995,57.713,58.06100000000001,58.402
87,Greece,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488
88,Grenada,72.867,72.768,72.669,72.579,72.503,72.445,72.408,72.388,72.384
89,Greenland,70.85707317,71.06243902,71.29902439,71.8304878,71.53841463,71.24634146,70.84878049,,
