Country name,time,value
Afghanistan,2016,0.494
Angola,2016,0.5770000000000001
Albania,2016,0.782
Andorra,2016,0.856
United Arab Emirates,2016,0.862
Argentina,2016,0.8220000000000001
Armenia,2016,0.7490000000000001
Antigua and Barbuda,2016,0.778
Australia,2016,0.938
Austria,2016,0.9059999999999999
Azerbaijan,2016,0.757
Burundi,2016,0.418
Belgium,2016,0.915
Benin,2016,0.512
Burkina Faso,2016,0.42
Bangladesh,2016,0.597
Bulgaria,2016,0.81
Bahrain,2016,0.846
Bahamas,2016,0.8059999999999999
Bosnia and Herzegovina,2016,0.7659999999999999
Belarus,2016,0.805
Belize,2016,0.7090000000000001
Bolivia,2016,0.689
Brazil,2016,0.758
Barbados,2016,0.799
Brunei Darussalam,2016,0.852
Bhutan,2016,0.609
Botswana,2016,0.7120000000000001
Central African Republic,2016,0.36200000000000004
Canada,2016,0.922
Switzerland,2016,0.943
Chile,2016,0.8420000000000001
China,2016,0.748
Ivory Coast,2016,0.486
Cameroon,2016,0.5529999999999999
Democratic Republic of the Congo,2016,0.452
Congo,2016,0.612
Colombia,2016,0.747
Comoros,2016,0.502
Cape Verde,2016,0.652
Costa Rica,2016,0.7909999999999999
Cuba,2016,0.774
Cyprus,2016,0.867
Czech Republic,2016,0.885
Germany,2016,0.934
Djibouti,2016,0.474
Dominica,2016,0.718
Denmark,2016,0.9279999999999999
Dominican Republic,2016,0.733
Algeria,2016,0.752
Ecuador,2016,0.7490000000000001
Egypt,2016,0.6940000000000001
Eritrea,2016,0.436
Spain,2016,0.889
Estonia,2016,0.868
Ethiopia,2016,0.457
Finland,2016,0.9179999999999999
Fiji,2016,0.738
France,2016,0.899
Micronesia,2016,0.627
Gabon,2016,0.698
United Kingdom,2016,0.92
Georgia,2016,0.7759999999999999
Ghana,2016,0.588
Guinea,2016,0.449
Gambia,2016,0.457
Guinea-Bissau,2016,0.45299999999999996
Equatorial Guinea,2016,0.5920000000000001
Greece,2016,0.868
Grenada,2016,0.77
Guatemala,2016,0.649
Guyana,2016,0.652
Hong Kong,2016,0.93
Honduras,2016,0.614
Croatia,2016,0.828
Haiti,2016,0.496
Hungary,2016,0.835
Indonesia,2016,0.691
India,2016,0.636
Ireland,2016,0.934
Iran,2016,0.7959999999999999
Iraq,2016,0.672
Iceland,2016,0.933
Israel,2016,0.902
Italy,2016,0.878
Jamaica,2016,0.732
Jordan,2016,0.735
Japan,2016,0.907
Kazakhstan,2016,0.797
Kenya,2016,0.585
Kyrgyzstan,2016,0.669
Cambodia,2016,0.5760000000000001
Kiribati,2016,0.61
Saint Kitts and Nevis,2016,0.774
Republic of Korea,2016,0.9
Kuwait,2016,0.804
Lao,2016,0.598
Lebanon,2016,0.753
Liberia,2016,0.43200000000000005
Libya,2016,0.693
Saint Lucia,2016,0.745
Liechtenstein,2016,0.915
Sri Lanka,2016,0.768
Lesotho,2016,0.516
Lithuania,2016,0.855
Luxembourg,2016,0.903
Latvia,2016,0.8440000000000001
Morocco,2016,0.662
Moldova,2016,0.6970000000000001
Madagascar,2016,0.517
Maldives,2016,0.7120000000000001
Mexico,2016,0.772
Macedonia,2016,0.7559999999999999
Mali,2016,0.42100000000000004
Malta,2016,0.875
Myanmar,2016,0.574
Montenegro,2016,0.81
Mongolia,2016,0.743
Mozambique,2016,0.435
Mauritania,2016,0.516
Mauritius,2016,0.7879999999999999
Malawi,2016,0.474
Malaysia,2016,0.799
Namibia,2016,0.645
Niger,2016,0.35100000000000003
Nigeria,2016,0.53
Nicaragua,2016,0.657
Netherlands,2016,0.9279999999999999
Norway,2016,0.951
Nepal,2016,0.569
New Zealand,2016,0.915
Oman,2016,0.8220000000000001
Pakistan,2016,0.56
Panama,2016,0.785
Peru,2016,0.748
Philippines,2016,0.696
Palau,2016,0.7979999999999999
Papua New Guinea,2016,0.5429999999999999
Poland,2016,0.86
Portugal,2016,0.845
Paraguay,2016,0.7020000000000001
Palestine,2016,0.689
Qatar,2016,0.855
Romania,2016,0.807
Russia,2016,0.815
Rwanda,2016,0.52
Saudi Arabia,2016,0.8540000000000001
Sudan,2016,0.499
Senegal,2016,0.499
Singapore,2016,0.93
Solomon Islands,2016,0.5429999999999999
Sierra Leone,2016,0.413
El Salvador,2016,0.679
Serbia,2016,0.785
South Sudan,2016,0.39399999999999996
Sao Tome and Principe,2016,0.584
Suriname,2016,0.7190000000000001
Slovakia,2016,0.853
Slovenia,2016,0.894
Sweden,2016,0.932
Swaziland,2016,0.586
Seychelles,2016,0.7929999999999999
Syrian Arab Republic,2016,0.536
Chad,2016,0.405
Togo,2016,0.5
Thailand,2016,0.748
Tajikistan,2016,0.647
Turkmenistan,2016,0.705
Timor-Leste,2016,0.631
Tonga,2016,0.7240000000000001
Trinidad and Tobago,2016,0.785
Tunisia,2016,0.732
Turkey,2016,0.787
Tanzania,2016,0.5329999999999999
Uganda,2016,0.508
Ukraine,2016,0.746
Uruguay,2016,0.802
United States of America,2016,0.922
Uzbekistan,2016,0.703
Saint Vincent and the Grenadines,2016,0.721
Venezuela,2016,0.7659999999999999
Vietnam,2016,0.689
Vanuatu,2016,0.6
Samoa,2016,0.711
Yemen,2016,0.462
South Africa,2016,0.696
Zambia,2016,0.586
Zimbabwe,2016,0.532
