Entity,Code,Year, ((0-1; higher values are better))
Afghanistan,AFG,2013,0.48700000000000004
Albania,ALB,2013,0.7709999999999999
Algeria,DZA,2013,0.745
Andorra,AND,2013,0.85
Angola,AGO,2013,0.5539999999999999
Antigua and Barbuda,ATG,2013,0.768
Argentina,ARG,2013,0.82
Armenia,ARM,2013,0.742
Australia,AUS,2013,0.9309999999999999
Austria,AUT,2013,0.897
Azerbaijan,AZE,2013,0.752
Bahamas,BHS,2013,0.807
Bahrain,BHR,2013,0.807
Bangladesh,BGD,2013,0.575
Barbados,BRB,2013,0.7959999999999999
Belarus,BLR,2013,0.804
Belgium,BEL,2013,0.9079999999999999
Belize,BLZ,2013,0.705
Benin,BEN,2013,0.5
Bhutan,BTN,2013,0.589
Bolivia,BOL,2013,0.6679999999999999
Bosnia and Herzegovina,BIH,2013,0.747
Botswana,BWA,2013,0.693
Brazil,BRA,2013,0.748
Brunei,BRN,2013,0.853
Bulgaria,BGR,2013,0.792
Burkina Faso,BFA,2013,0.401
Burundi,BDI,2013,0.414
Cambodia,KHM,2013,0.56
Cameroon,CMR,2013,0.535
Canada,CAN,2013,0.9109999999999999
Cape Verde,CPV,2013,0.642
Central African Republic,CAF,2013,0.344
Chad,TCD,2013,0.397
Chile,CHL,2013,0.828
China,CHN,2013,0.7290000000000001
Colombia,COL,2013,0.735
Comoros,COM,2013,0.499
Congo,COG,2013,0.5820000000000001
Costa Rica,CRI,2013,0.7759999999999999
Cote d'Ivoire,CIV,2013,0.462
Croatia,HRV,2013,0.821
Cuba,CUB,2013,0.765
Cyprus,CYP,2013,0.853
Czech Republic,CZE,2013,0.8740000000000001
Democratic Republic of Congo,COD,2013,0.426
Denmark,DNK,2013,0.9309999999999999
Djibouti,DJI,2013,0.46299999999999997
Dominica,DMA,2013,0.721
Dominican Republic,DOM,2013,0.713
Ecuador,ECU,2013,0.7340000000000001
Egypt,EGY,2013,0.68
El Salvador,SLV,2013,0.6709999999999999
Equatorial Guinea,GNQ,2013,0.59
Eritrea,ERI,2013,0.425
Estonia,EST,2013,0.862
Ethiopia,ETH,2013,0.43799999999999994
