LOCATION,SUBJECT,TIME,Value
AUS,TOT,2010,81.8
AUT,TOT,2010,80.7
BEL,TOT,2010,80.3
CAN,TOT,2010,81.1
CZE,TOT,2010,77.7
DNK,TOT,2010,79.3
FIN,TOT,2010,80.2
FRA,TOT,2010,81.8
DEU,TOT,2010,80.5
GRC,TOT,2010,80.7
HUN,TOT,2010,74.7
ISL,TOT,2010,82.0
IRL,TOT,2010,80.8
ITA,TOT,2010,82.1
JPN,TOT,2010,82.9
KOR,TOT,2010,80.2
LUX,TOT,2010,80.7
MEX,TOT,2010,74.1
NLD,TOT,2010,81.0
NZL,TOT,2010,80.8
NOR,TOT,2010,81.2
POL,TOT,2010,76.5
PRT,TOT,2010,80.0
SVK,TOT,2010,75.6
ESP,TOT,2010,82.4
SWE,TOT,2010,81.6
CHE,TOT,2010,82.6
TUR,TOT,2010,74.3
GBR,TOT,2010,80.6
USA,TOT,2010,78.6
BRA,TOT,2010,73.7
CHL,TOT,2010,78.8
CHN,TOT,2010,74.5
EST,TOT,2010,75.9
IND,TOT,2010,66.7
IDN,TOT,2010,69.2
ISR,TOT,2010,81.7
RUS,TOT,2010,69.0
SVN,TOT,2010,79.8
ZAF,TOT,2010,57.7
COL,TOT,2010,75.4
LVA,TOT,2010,73.0
LTU,TOT,2010,73.3
CRI,TOT,2010,78.8
