LOCATION,SUBJECT,TIME,Value
AUS,TOT,2014,82.4
AUT,TOT,2014,81.6
BEL,TOT,2014,81.4
CAN,TOT,2014,81.8
CZE,TOT,2014,78.9
DNK,TOT,2014,80.8
FIN,TOT,2014,81.3
FRA,TOT,2014,82.8
DEU,TOT,2014,81.2
GRC,TOT,2014,81.5
HUN,TOT,2014,75.9
ISL,TOT,2014,82.9
IRL,TOT,2014,81.4
ITA,TOT,2014,83.2
JPN,TOT,2014,83.7
KOR,TOT,2014,81.8
LUX,TOT,2014,82.3
MEX,TOT,2014,74.8
NLD,TOT,2014,81.8
NZL,TOT,2014,81.5
NOR,TOT,2014,82.2
POL,TOT,2014,77.7
PRT,TOT,2014,81.2
SVK,TOT,2014,76.9
ESP,TOT,2014,83.3
SWE,TOT,2014,82.3
CHE,TOT,2014,83.3
TUR,TOT,2014,78.0
GBR,TOT,2014,81.4
USA,TOT,2014,78.9
BRA,TOT,2014,74.8
CHL,TOT,2014,79.6
CHN,TOT,2014,75.7
EST,TOT,2014,77.2
IND,TOT,2014,68.3
IDN,TOT,2014,70.5
ISR,TOT,2014,82.2
RUS,TOT,2014,70.9
SVN,TOT,2014,81.2
ZAF,TOT,2014,62.0
COL,TOT,2014,76.3
LVA,TOT,2014,74.3
LTU,TOT,2014,74.7
CRI,TOT,2014,79.8
