LOCATION,SUBJECT,TIME,Value
AUS,TOT,2017,82.6
AUT,TOT,2017,81.7
BEL,TOT,2017,81.6
CAN,TOT,2017,82.0
CZE,TOT,2017,79.1
DNK,TOT,2017,81.2
FIN,TOT,2017,81.7
FRA,TOT,2017,82.7
DEU,TOT,2017,81.1
GRC,TOT,2017,81.4
HUN,TOT,2017,75.9
ISL,TOT,2017,82.7
IRL,TOT,2017,82.2
ITA,TOT,2017,83.0
JPN,TOT,2017,84.2
KOR,TOT,2017,82.7
LUX,TOT,2017,82.2
MEX,TOT,2017,75.4
NLD,TOT,2017,81.8
NZL,TOT,2017,81.9
NOR,TOT,2017,82.7
POL,TOT,2017,77.9
PRT,TOT,2017,81.5
SVK,TOT,2017,77.3
ESP,TOT,2017,83.4
SWE,TOT,2017,82.5
CHE,TOT,2017,83.6
TUR,TOT,2017,78.1
GBR,TOT,2017,81.3
USA,TOT,2017,78.6
BRA,TOT,2017,75.5
CHL,TOT,2017,80.2
CHN,TOT,2017,76.6
EST,TOT,2017,78.2
IND,TOT,2017,69.2
IDN,TOT,2017,71.3
ISR,TOT,2017,82.6
RUS,TOT,2017,72.6
SVN,TOT,2017,81.1
ZAF,TOT,2017,63.6
COL,TOT,2017,76.9
LVA,TOT,2017,74.8
LTU,TOT,2017,75.6
CRI,TOT,2017,80.2
