Country name,time,value
Afghanistan,2017,0.498
Angola,2017,0.581
Albania,2017,0.785
Andorra,2017,0.858
United Arab Emirates,2017,0.863
Argentina,2017,0.825
Armenia,2017,0.755
Antigua and Barbuda,2017,0.78
Australia,2017,0.939
Austria,2017,0.9079999999999999
Azerbaijan,2017,0.757
Burundi,2017,0.41700000000000004
Belgium,2017,0.9159999999999999
Benin,2017,0.515
Burkina Faso,2017,0.423
Bangladesh,2017,0.608
Bulgaria,2017,0.813
Bahrain,2017,0.846
Bahamas,2017,0.807
Bosnia and Herzegovina,2017,0.768
Belarus,2017,0.808
Belize,2017,0.708
Bolivia,2017,0.693
Brazil,2017,0.759
Barbados,2017,0.8
Brunei Darussalam,2017,0.853
Bhutan,2017,0.612
Botswana,2017,0.7170000000000001
Central African Republic,2017,0.36700000000000005
Canada,2017,0.9259999999999999
Switzerland,2017,0.9440000000000001
Chile,2017,0.843
China,2017,0.752
Ivory Coast,2017,0.49200000000000005
Cameroon,2017,0.556
Democratic Republic of the Congo,2017,0.457
Congo,2017,0.606
Colombia,2017,0.747
Comoros,2017,0.503
Cape Verde,2017,0.654
Costa Rica,2017,0.794
Cuba,2017,0.777
Cyprus,2017,0.8690000000000001
Czech Republic,2017,0.888
Germany,2017,0.936
Djibouti,2017,0.47600000000000003
Dominica,2017,0.715
Denmark,2017,0.929
Dominican Republic,2017,0.736
Algeria,2017,0.754
Ecuador,2017,0.752
Egypt,2017,0.696
Eritrea,2017,0.44
Spain,2017,0.8909999999999999
Estonia,2017,0.871
Ethiopia,2017,0.46299999999999997
Finland,2017,0.92
Fiji,2017,0.741
France,2017,0.9009999999999999
Micronesia,2017,0.627
Gabon,2017,0.7020000000000001
United Kingdom,2017,0.922
Georgia,2017,0.78
Ghana,2017,0.5920000000000001
Guinea,2017,0.45899999999999996
Gambia,2017,0.46
Guinea-Bissau,2017,0.455
Equatorial Guinea,2017,0.591
Greece,2017,0.87
Grenada,2017,0.772
Guatemala,2017,0.65
Guyana,2017,0.654
Hong Kong,2017,0.933
Honduras,2017,0.617
Croatia,2017,0.831
Haiti,2017,0.498
Hungary,2017,0.838
Indonesia,2017,0.6940000000000001
India,2017,0.64
Ireland,2017,0.938
Iran,2017,0.7979999999999999
Iraq,2017,0.685
Iceland,2017,0.935
Israel,2017,0.903
Italy,2017,0.88
Jamaica,2017,0.732
Jordan,2017,0.735
Japan,2017,0.909
Kazakhstan,2017,0.8
Kenya,2017,0.59
Kyrgyzstan,2017,0.672
Cambodia,2017,0.5820000000000001
Kiribati,2017,0.612
Saint Kitts and Nevis,2017,0.778
Republic of Korea,2017,0.903
Kuwait,2017,0.8029999999999999
Lao,2017,0.601
Lebanon,2017,0.757
Liberia,2017,0.435
Libya,2017,0.706
Saint Lucia,2017,0.747
Liechtenstein,2017,0.9159999999999999
Sri Lanka,2017,0.77
Lesotho,2017,0.52
Lithuania,2017,0.858
Luxembourg,2017,0.904
Latvia,2017,0.847
Morocco,2017,0.667
Moldova,2017,0.7
Madagascar,2017,0.519
Maldives,2017,0.7170000000000001
Mexico,2017,0.774
Marshall Islands,2017,0.708
Macedonia,2017,0.757
Mali,2017,0.42700000000000005
Malta,2017,0.878
Myanmar,2017,0.578
Montenegro,2017,0.814
Mongolia,2017,0.741
Mozambique,2017,0.43700000000000006
Mauritania,2017,0.52
Mauritius,2017,0.79
Malawi,2017,0.47700000000000004
Malaysia,2017,0.802
Namibia,2017,0.647
Niger,2017,0.354
Nigeria,2017,0.532
Nicaragua,2017,0.6579999999999999
Netherlands,2017,0.9309999999999999
Norway,2017,0.953
Nepal,2017,0.574
New Zealand,2017,0.917
Oman,2017,0.821
Pakistan,2017,0.562
Panama,2017,0.789
Peru,2017,0.75
Philippines,2017,0.6990000000000001
Palau,2017,0.7979999999999999
Papua New Guinea,2017,0.544
Poland,2017,0.865
Portugal,2017,0.847
Paraguay,2017,0.7020000000000001
Palestine,2017,0.686
Qatar,2017,0.856
Romania,2017,0.811
Russia,2017,0.816
Rwanda,2017,0.524
Saudi Arabia,2017,0.853
Sudan,2017,0.502
Senegal,2017,0.505
Singapore,2017,0.932
Solomon Islands,2017,0.546
Sierra Leone,2017,0.419
El Salvador,2017,0.674
Serbia,2017,0.787
South Sudan,2017,0.38799999999999996
Sao Tome and Principe,2017,0.589
Suriname,2017,0.72
Slovakia,2017,0.855
Slovenia,2017,0.8959999999999999
Sweden,2017,0.933
Swaziland,2017,0.588
Seychelles,2017,0.797
Syrian Arab Republic,2017,0.536
Chad,2017,0.40399999999999997
Togo,2017,0.503
Thailand,2017,0.755
Tajikistan,2017,0.65
Turkmenistan,2017,0.706
Timor-Leste,2017,0.625
Tonga,2017,0.726
Trinidad and Tobago,2017,0.784
Tunisia,2017,0.735
Turkey,2017,0.7909999999999999
Tanzania,2017,0.5379999999999999
Uganda,2017,0.516
Ukraine,2017,0.7509999999999999
Uruguay,2017,0.804
United States of America,2017,0.924
Uzbekistan,2017,0.71
Saint Vincent and the Grenadines,2017,0.723
Venezuela,2017,0.7609999999999999
Vietnam,2017,0.6940000000000001
Vanuatu,2017,0.603
Samoa,2017,0.713
Yemen,2017,0.452
South Africa,2017,0.6990000000000001
Zambia,2017,0.588
Zimbabwe,2017,0.535
